city,YR,M,D,HR,MIN,MW
Kupang,2014,1,1,0,0,51.079
Kupang,2014,1,1,1,0,53.334
Kupang,2014,1,1,2,0,50.052
Kupang,2014,1,1,3,0,47.164
Kupang,2014,1,1,4,0,45.495
Kupang,2014,1,1,5,0,43.285
Kupang,2014,1,1,6,0,40.884
Kupang,2014,1,1,7,0,47.885
Kupang,2014,1,1,8,0,37.442
Kupang,2014,1,1,9,0,38.301
Kupang,2014,1,1,10,0,42.939
Kupang,2014,1,1,11,0,40.863
Kupang,2014,1,1,12,0,41.164
Kupang,2014,1,1,13,0,40.474
Kupang,2014,1,1,14,0,39.075
Kupang,2014,1,1,15,0,39.269
Kupang,2014,1,1,16,0,40.192
Kupang,2014,1,1,17,0,41.279
Kupang,2014,1,1,18,0,46.346
Kupang,2014,1,1,19,0,64.572
Kupang,2014,1,1,20,0,60.415
Kupang,2014,1,1,21,0,57.377
Kupang,2014,1,1,22,0,58.316
Kupang,2014,1,1,23,0,51.562
Kupang,2014,1,2,0,0,49.584
Kupang,2014,1,2,1,0,44.875
Kupang,2014,1,2,2,0,42.006
Kupang,2014,1,2,3,0,40.593
Kupang,2014,1,2,4,0,40.322
Kupang,2014,1,2,5,0,36.732
Kupang,2014,1,2,6,0,34.56
Kupang,2014,1,2,7,0,39.801
Kupang,2014,1,2,8,0,39.733
Kupang,2014,1,2,9,0,43.37
Kupang,2014,1,2,10,0,45.578
Kupang,2014,1,2,11,0,47.153
Kupang,2014,1,2,12,0,47.276
Kupang,2014,1,2,13,0,47.831
Kupang,2014,1,2,14,0,46.098
Kupang,2014,1,2,15,0,42.89
Kupang,2014,1,2,16,0,41.752
Kupang,2014,1,2,17,0,42.554
Kupang,2014,1,2,18,0,52.254
Kupang,2014,1,2,19,0,65.318
Kupang,2014,1,2,20,0,64.162
Kupang,2014,1,2,21,0,62.492
Kupang,2014,1,2,22,0,61.107
Kupang,2014,1,2,23,0,54.009
Kupang,2014,1,3,0,0,51.892
Kupang,2014,1,3,1,0,45.737
Kupang,2014,1,3,2,0,43.899
Kupang,2014,1,3,3,0,42.503
Kupang,2014,1,3,4,0,41.389
Kupang,2014,1,3,5,0,41.092
Kupang,2014,1,3,6,0,38.901
Kupang,2014,1,3,7,0,38.094
Kupang,2014,1,3,8,0,41.448
Kupang,2014,1,3,9,0,46.24
Kupang,2014,1,3,10,0,48.046
Kupang,2014,1,3,11,0,47.942
Kupang,2014,1,3,12,0,47.406
Kupang,2014,1,3,13,0,46.959
Kupang,2014,1,3,14,0,47.719
Kupang,2014,1,3,15,0,47.44
Kupang,2014,1,3,16,0,44.735
Kupang,2014,1,3,17,0,46.223
Kupang,2014,1,3,18,0,49.417
Kupang,2014,1,3,19,0,68.036
Kupang,2014,1,3,20,0,66.518
Kupang,2014,1,3,21,0,63.354
Kupang,2014,1,3,22,0,59.672
Kupang,2014,1,3,23,0,57.093
Kupang,2014,1,4,0,0,52.001
Kupang,2014,1,4,1,0,48.211
Kupang,2014,1,4,2,0,46.475
Kupang,2014,1,4,3,0,44.64
Kupang,2014,1,4,4,0,43.219
Kupang,2014,1,4,5,0,42.9
Kupang,2014,1,4,6,0,38.578
Kupang,2014,1,4,7,0,38.449
Kupang,2014,1,4,8,0,41.715
Kupang,2014,1,4,9,0,43.645
Kupang,2014,1,4,10,0,45.864
Kupang,2014,1,4,11,0,47.294
Kupang,2014,1,4,12,0,47.534
Kupang,2014,1,4,13,0,46.049
Kupang,2014,1,4,14,0,46.078
Kupang,2014,1,4,15,0,41.772
Kupang,2014,1,4,16,0,38.475
Kupang,2014,1,4,17,0,44.122
Kupang,2014,1,4,18,0,50.972
Kupang,2014,1,4,19,0,67.54
Kupang,2014,1,4,20,0,65.393
Kupang,2014,1,4,21,0,59.844
Kupang,2014,1,4,22,0,55.896
Kupang,2014,1,4,23,0,51.228
Kupang,2014,1,5,0,0,49.642
Kupang,2014,1,5,1,0,44.539
Kupang,2014,1,5,2,0,42.822
Kupang,2014,1,5,3,0,40.923
Kupang,2014,1,5,4,0,39.198
Kupang,2014,1,5,5,0,38.839
Kupang,2014,1,5,6,0,37.788
Kupang,2014,1,5,7,0,35.938
Kupang,2014,1,5,8,0,38.756
Kupang,2014,1,5,9,0,40.117
Kupang,2014,1,5,10,0,42.945
Kupang,2014,1,5,11,0,43.624
Kupang,2014,1,5,12,0,44.224
Kupang,2014,1,5,13,0,43.363
Kupang,2014,1,5,14,0,44.246
Kupang,2014,1,5,15,0,43.31
Kupang,2014,1,5,16,0,42.941
Kupang,2014,1,5,17,0,43.468
Kupang,2014,1,5,18,0,49.337
Kupang,2014,1,5,19,0,66.543
Kupang,2014,1,5,20,0,68.012
Kupang,2014,1,5,21,0,66.488
Kupang,2014,1,5,22,0,59.454
Kupang,2014,1,5,23,0,54.373
Kupang,2014,1,6,0,0,51.279
Kupang,2014,1,6,1,0,47.589
Kupang,2014,1,6,2,0,44.867
Kupang,2014,1,6,3,0,43.106
Kupang,2014,1,6,4,0,41.603
Kupang,2014,1,6,5,0,42.295
Kupang,2014,1,6,6,0,42.427
Kupang,2014,1,6,7,0,40.507
Kupang,2014,1,6,8,0,42.48
Kupang,2014,1,6,9,0,44.229
Kupang,2014,1,6,10,0,45.807
Kupang,2014,1,6,11,0,46.107
Kupang,2014,1,6,12,0,47.53
Kupang,2014,1,6,13,0,47.143
Kupang,2014,1,6,14,0,48.683
Kupang,2014,1,6,15,0,49.611
Kupang,2014,1,6,16,0,48.77
Kupang,2014,1,6,17,0,49.714
Kupang,2014,1,6,18,0,53.355
Kupang,2014,1,6,19,0,72.815
Kupang,2014,1,6,20,0,69.229
Kupang,2014,1,6,21,0,66.586
Kupang,2014,1,6,22,0,60.728
Kupang,2014,1,6,23,0,52.843
Kupang,2014,1,7,0,0,47.285
Kupang,2014,1,7,1,0,45.351
Kupang,2014,1,7,2,0,43.635
Kupang,2014,1,7,3,0,41.735
Kupang,2014,1,7,4,0,40.784
Kupang,2014,1,7,5,0,41.627
Kupang,2014,1,7,6,0,41.013
Kupang,2014,1,7,7,0,41.179
Kupang,2014,1,7,8,0,44.098
Kupang,2014,1,7,9,0,45.303
Kupang,2014,1,7,10,0,50.628
Kupang,2014,1,7,11,0,52.22
Kupang,2014,1,7,12,0,50.89
Kupang,2014,1,7,13,0,49.097
Kupang,2014,1,7,14,0,47.484
Kupang,2014,1,7,15,0,44.885
Kupang,2014,1,7,16,0,45.502
Kupang,2014,1,7,17,0,51.193
Kupang,2014,1,7,18,0,59.048
Kupang,2014,1,7,19,0,69.769
Kupang,2014,1,7,20,0,64.198
Kupang,2014,1,7,21,0,59.63
Kupang,2014,1,7,22,0,56.605
Kupang,2014,1,7,23,0,52.961
Kupang,2014,1,8,0,0,51.062
Kupang,2014,1,8,1,0,48.108
Kupang,2014,1,8,2,0,45.212
Kupang,2014,1,8,3,0,44.152
Kupang,2014,1,8,4,0,42.941
Kupang,2014,1,8,5,0,43.164
Kupang,2014,1,8,6,0,42.503
Kupang,2014,1,8,7,0,43.089
Kupang,2014,1,8,8,0,47.343
Kupang,2014,1,8,9,0,53.543
Kupang,2014,1,8,10,0,55.092
Kupang,2014,1,8,11,0,57.075
Kupang,2014,1,8,12,0,54.538
Kupang,2014,1,8,13,0,56.264
Kupang,2014,1,8,14,0,55.843
Kupang,2014,1,8,15,0,56.187
Kupang,2014,1,8,16,0,56.598
Kupang,2014,1,8,17,0,55.094
Kupang,2014,1,8,18,0,57.393
Kupang,2014,1,8,19,0,75.481
Kupang,2014,1,8,20,0,68.98
Kupang,2014,1,8,21,0,65.14
Kupang,2014,1,8,22,0,63.211
Kupang,2014,1,8,23,0,55.782
Kupang,2014,1,9,0,0,52.382
Kupang,2014,1,9,1,0,51.26
Kupang,2014,1,9,2,0,46.706
Kupang,2014,1,9,3,0,48.034
Kupang,2014,1,9,4,0,47.257
Kupang,2014,1,9,5,0,47.033
Kupang,2014,1,9,6,0,46.238
Kupang,2014,1,9,7,0,46.895
Kupang,2014,1,9,8,0,48.644
Kupang,2014,1,9,9,0,51.353
Kupang,2014,1,9,10,0,51.865
Kupang,2014,1,9,11,0,54.743
Kupang,2014,1,9,12,0,53.806
Kupang,2014,1,9,13,0,52.069
Kupang,2014,1,9,14,0,54.323
Kupang,2014,1,9,15,0,47.846
Kupang,2014,1,9,16,0,50.801
Kupang,2014,1,9,17,0,52.604
Kupang,2014,1,9,18,0,55.03
Kupang,2014,1,9,19,0,68.762
Kupang,2014,1,9,20,0,66.451
