city,YR,M,D,HR,MIN,MW
Mbabane,2012,9,10,1,0,7.6272
Mbabane,2012,9,10,2,0,7.3581
Mbabane,2012,9,10,3,0,7.378
Mbabane,2012,9,10,4,0,8.2378
Mbabane,2012,9,10,5,0,9.2506
Mbabane,2012,9,10,6,0,11.8614
Mbabane,2012,9,10,7,0,14.298
Mbabane,2012,9,10,8,0,14.7884
Mbabane,2012,9,10,9,0,15.5191
Mbabane,2012,9,10,10,0,15.4435
Mbabane,2012,9,10,11,0,15.1178
Mbabane,2012,9,10,12,0,15.2701
Mbabane,2012,9,10,13,0,14.8298
Mbabane,2012,9,10,14,0,14.3731
Mbabane,2012,9,10,15,0,14.3366
Mbabane,2012,9,10,16,0,14.2752
Mbabane,2012,9,10,17,0,14.071
Mbabane,2012,9,10,18,0,14.9313
Mbabane,2012,9,10,19,0,16.493
Mbabane,2012,9,10,20,0,14.4777
Mbabane,2012,9,10,21,0,12.753
Mbabane,2012,9,10,22,0,10.9729
Mbabane,2012,9,10,23,0,9.3386
Mbabane,2012,9,11,0,0,8.2458
Mbabane,2012,9,11,1,0,7.7303
Mbabane,2012,9,11,2,0,7.6979
Mbabane,2012,9,11,3,0,7.6692
Mbabane,2012,9,11,4,0,7.6493
Mbabane,2012,9,11,5,0,8.9216
Mbabane,2012,9,11,6,0,11.8409
Mbabane,2012,9,11,7,0,14.8874
Mbabane,2012,9,11,8,0,16.5684
Mbabane,2012,9,11,9,0,18.7449
Mbabane,2012,9,11,10,0,19.082
Mbabane,2012,9,11,11,0,18.8448
Mbabane,2012,9,11,12,0,18.9036
Mbabane,2012,9,11,13,0,18.6221
Mbabane,2012,9,11,14,0,17.8337
Mbabane,2012,9,11,15,0,17.8288
Mbabane,2012,9,11,16,0,17.7737
Mbabane,2012,9,11,17,0,17.0664
Mbabane,2012,9,11,18,0,17.3098
Mbabane,2012,9,11,19,0,17.571
Mbabane,2012,9,11,20,0,15.7169
Mbabane,2012,9,11,21,0,13.3955
Mbabane,2012,9,11,22,0,11.7191
Mbabane,2012,9,11,23,0,10.3447
Mbabane,2012,9,12,0,0,9.0247
Mbabane,2012,9,12,1,0,8.5991
Mbabane,2012,9,12,2,0,8.2835
Mbabane,2012,9,12,3,0,7.8294
Mbabane,2012,9,12,4,0,8.1942
Mbabane,2012,9,12,5,0,9.2947
Mbabane,2012,9,12,6,0,12.4467
Mbabane,2012,9,12,7,0,15.1347
Mbabane,2012,9,12,8,0,16.5233
Mbabane,2012,9,12,9,0,18.225
Mbabane,2012,9,12,10,0,17.6787
Mbabane,2012,9,12,11,0,16.4123
Mbabane,2012,9,12,12,0,15.5479
Mbabane,2012,9,12,13,0,14.8413
Mbabane,2012,9,12,14,0,14.1316
Mbabane,2012,9,12,15,0,13.8442
Mbabane,2012,9,12,16,0,13.7786
Mbabane,2012,9,12,17,0,13.6749
Mbabane,2012,9,12,18,0,14.3011
Mbabane,2012,9,12,19,0,16.476
Mbabane,2012,9,12,20,0,14.6299
Mbabane,2012,9,12,21,0,12.9097
Mbabane,2012,9,12,22,0,11.1065
Mbabane,2012,9,12,23,0,9.5584
Mbabane,2012,9,13,0,0,8.5524
Mbabane,2012,9,13,1,0,8.0801
Mbabane,2012,9,13,2,0,7.6522
Mbabane,2012,9,13,3,0,7.6493
Mbabane,2012,9,13,4,0,7.8622
Mbabane,2012,9,13,5,0,9.0329
Mbabane,2012,9,13,6,0,12.1129
Mbabane,2012,9,13,7,0,14.7594
Mbabane,2012,9,13,8,0,14.7475
Mbabane,2012,9,13,9,0,15.5098
Mbabane,2012,9,13,10,0,15.1606
Mbabane,2012,9,13,11,0,14.5663
Mbabane,2012,9,13,12,0,14.4208
Mbabane,2012,9,13,13,0,14.1983
Mbabane,2012,9,13,14,0,13.3299
Mbabane,2012,9,13,15,0,13.4003
Mbabane,2012,9,13,16,0,13.2051
Mbabane,2012,9,13,17,0,13.2553
Mbabane,2012,9,13,18,0,14.1987
Mbabane,2012,9,13,19,0,15.9185
Mbabane,2012,9,13,20,0,14.137
Mbabane,2012,9,13,21,0,12.5209
Mbabane,2012,9,13,22,0,10.8244
Mbabane,2012,9,13,23,0,9.3511
Mbabane,2012,9,14,0,0,8.4042
Mbabane,2012,9,14,1,0,8.0384
Mbabane,2012,9,14,2,0,7.7665
Mbabane,2012,9,14,3,0,7.6538
Mbabane,2012,9,14,4,0,8.0112
Mbabane,2012,9,14,5,0,9.0192
Mbabane,2012,9,14,6,0,11.6432
Mbabane,2012,9,14,7,0,14.6669
Mbabane,2012,9,14,8,0,15.8134
Mbabane,2012,9,14,9,0,18.2119
Mbabane,2012,9,14,10,0,18.6003
Mbabane,2012,9,14,11,0,18.7224
