city,YR,M,D,HR,MIN,MW
Nairobi,2011,1,1,0,30,363.9175417
Nairobi,2011,1,1,1,0,286.6175417
Nairobi,2011,1,1,1,30,295.5575417
Nairobi,2011,1,1,2,0,275.1775417
Nairobi,2011,1,1,2,30,279.8975417
Nairobi,2011,1,1,3,0,273.6775417
Nairobi,2011,1,1,3,30,270.4575417
Nairobi,2011,1,1,4,0,272.0375417
Nairobi,2011,1,1,4,30,274.9175417
Nairobi,2011,1,1,5,0,275.9175417
Nairobi,2011,1,1,5,30,283.1375417
Nairobi,2011,1,1,6,0,281.2975417
Nairobi,2011,1,1,6,30,288.5575417
Nairobi,2011,1,1,7,0,289.4375417
Nairobi,2011,1,1,7,30,287.0175417
Nairobi,2011,1,1,8,0,301.6575417
Nairobi,2011,1,1,8,30,324.8775417
Nairobi,2011,1,1,9,0,344.3375417
Nairobi,2011,1,1,9,30,332.2175417
Nairobi,2011,1,1,10,0,353.5775417
Nairobi,2011,1,1,10,30,357.6175417
Nairobi,2011,1,1,11,0,348.1175417
Nairobi,2011,1,1,11,30,346.5575417
Nairobi,2011,1,1,12,0,349.6375417
Nairobi,2011,1,1,12,30,352.8575417
Nairobi,2011,1,1,13,0,324.4575417
Nairobi,2011,1,1,13,30,337.4775417
Nairobi,2011,1,1,14,0,331.3775417
Nairobi,2011,1,1,14,30,330.6775417
Nairobi,2011,1,1,15,0,317.4575417
Nairobi,2011,1,1,15,30,321.5775417
Nairobi,2011,1,1,16,0,313.9775417
Nairobi,2011,1,1,16,30,317.0575417
Nairobi,2011,1,1,17,0,314.6775417
Nairobi,2011,1,1,17,30,313.2575417
Nairobi,2011,1,1,18,0,318.8375417
Nairobi,2011,1,1,18,30,328.3175417
Nairobi,2011,1,1,19,0,371.2775417
Nairobi,2011,1,1,19,30,423.3575417
Nairobi,2011,1,1,20,0,438.8175417
Nairobi,2011,1,1,20,30,420.4775417
Nairobi,2011,1,1,21,0,424.6975417
Nairobi,2011,1,1,21,30,420.0975417
Nairobi,2011,1,1,22,0,405.0175417
Nairobi,2011,1,1,22,30,363.0175417
Nairobi,2011,1,1,23,0,323.7375417
Nairobi,2011,1,1,23,30,321.3975417
Nairobi,2011,1,1,24,0,271.8375417
Nairobi,2011,1,2,0,30,254.3700417
Nairobi,2011,1,2,1,0,249.8100417
Nairobi,2011,1,2,1,30,247.5900417
Nairobi,2011,1,2,2,0,237.4500417
Nairobi,2011,1,2,2,30,238.8700417
Nairobi,2011,1,2,3,0,240.1900417
Nairobi,2011,1,2,3,30,239.9500417
Nairobi,2011,1,2,4,0,238.6900417
Nairobi,2011,1,2,4,30,238.3700417
Nairobi,2011,1,2,5,0,236.9700417
Nairobi,2011,1,2,5,30,245.8500417
Nairobi,2011,1,2,6,0,246.9300417
Nairobi,2011,1,2,6,30,259.9100417
Nairobi,2011,1,2,7,0,268.0100417
Nairobi,2011,1,2,7,30,301.4500417
Nairobi,2011,1,2,8,0,310.3700417
Nairobi,2011,1,2,8,30,332.3700417
Nairobi,2011,1,2,9,0,331.0900417
Nairobi,2011,1,2,9,30,362.1900417
Nairobi,2011,1,2,10,0,368.6500417
Nairobi,2011,1,2,10,30,351.3900417
Nairobi,2011,1,2,11,0,335.9500417
Nairobi,2011,1,2,11,30,337.7500417
Nairobi,2011,1,2,12,0,329.1100417
Nairobi,2011,1,2,12,30,336.5300417
Nairobi,2011,1,2,13,0,336.9300417
Nairobi,2011,1,2,13,30,334.6700417
Nairobi,2011,1,2,14,0,336.4300417
