city,YR,M,D,HR,MIN,MW
Philadelphia,2009,1,1,0,0,2212.44822
Philadelphia,2009,1,1,1,0,2278.31156
Philadelphia,2009,1,1,2,0,2232.24538
Philadelphia,2009,1,1,3,0,2178.81
Philadelphia,2009,1,1,4,0,2121.38883
Philadelphia,2009,1,1,5,0,2065.36094
Philadelphia,2009,1,1,6,0,2147.61586
Philadelphia,2009,1,1,7,0,2190.69303
Philadelphia,2009,1,1,8,0,2279.36401
Philadelphia,2009,1,1,9,0,2340.43368
Philadelphia,2009,1,1,10,0,2425.82925
Philadelphia,2009,1,1,11,0,2459.14783
Philadelphia,2009,1,1,12,0,2496.16768
Philadelphia,2009,1,1,13,0,2489.96524
Philadelphia,2009,1,1,14,0,2493.10751
Philadelphia,2009,1,1,15,0,2459.73026
Philadelphia,2009,1,1,16,0,2398.58992
Philadelphia,2009,1,1,17,0,2560.628
Philadelphia,2009,1,1,18,0,2827.22601
Philadelphia,2009,1,1,19,0,2885.61434
Philadelphia,2009,1,1,20,0,2829.42618
Philadelphia,2009,1,1,21,0,2854.6545
Philadelphia,2009,1,1,22,0,2689.14232
Philadelphia,2009,1,1,23,0,2579.26525
Philadelphia,2009,1,2,0,0,2093.67066
Philadelphia,2009,1,2,1,0,2034.49102
Philadelphia,2009,1,2,2,0,1783.88648
Philadelphia,2009,1,2,3,0,1776.73602
Philadelphia,2009,1,2,4,0,1730.40292
Philadelphia,2009,1,2,5,0,1787.12787
Philadelphia,2009,1,2,6,0,1803.44009
Philadelphia,2009,1,2,7,0,1919.25695
Philadelphia,2009,1,2,8,0,2048.63116
Philadelphia,2009,1,2,9,0,1978.36135
Philadelphia,2009,1,2,10,0,1877.8484
Philadelphia,2009,1,2,11,0,1935.51231
Philadelphia,2009,1,2,12,0,1901.50059
Philadelphia,2009,1,2,13,0,1880.7472
Philadelphia,2009,1,2,14,0,1943.13634
Philadelphia,2009,1,2,15,0,1901.74201
Philadelphia,2009,1,2,16,0,1860.62202
Philadelphia,2009,1,2,17,0,2036.60781
Philadelphia,2009,1,2,18,0,2476.48519
Philadelphia,2009,1,2,19,0,2590.88469
Philadelphia,2009,1,2,20,0,2557.4149
Philadelphia,2009,1,2,21,0,2515.08497
Philadelphia,2009,1,2,22,0,2428.327
Philadelphia,2009,1,2,23,0,2279.8798
Philadelphia,2009,1,3,0,0,2168.66839
Philadelphia,2009,1,3,1,0,1876.61627
