city,YR,M,D,HR,MIN,MW
Singapore,2013,4,1,0,30,4848.55
Singapore,2013,4,1,1,0,4744.51
Singapore,2013,4,1,1,30,4654.46
Singapore,2013,4,1,2,0,4592.96
Singapore,2013,4,1,2,30,4534.79
Singapore,2013,4,1,3,0,4483.25
Singapore,2013,4,1,3,30,4453.14
Singapore,2013,4,1,4,0,4395.62
Singapore,2013,4,1,4,30,4395.92
Singapore,2013,4,1,5,0,4398.69
Singapore,2013,4,1,5,30,4435.28
Singapore,2013,4,1,6,0,4550.9
Singapore,2013,4,1,6,30,4733.56
Singapore,2013,4,1,7,0,4880.81
Singapore,2013,4,1,7,30,5017.27
Singapore,2013,4,1,8,0,5270.62
Singapore,2013,4,1,8,30,5644.02
Singapore,2013,4,1,9,0,5918.57
Singapore,2013,4,1,9,30,6127.52
Singapore,2013,4,1,10,0,6235.36
Singapore,2013,4,1,10,30,6335.69
Singapore,2013,4,1,11,0,6416.22
Singapore,2013,4,1,11,30,6444.9
Singapore,2013,4,1,12,0,6421.24
Singapore,2013,4,1,12,30,6356.83
Singapore,2013,4,1,13,0,6332.2
Singapore,2013,4,1,13,30,6388.92
Singapore,2013,4,1,14,0,6469.83
Singapore,2013,4,1,14,30,6483.23
Singapore,2013,4,1,15,0,6483.34
Singapore,2013,4,1,15,30,6476.77
Singapore,2013,4,1,16,0,6405.81
Singapore,2013,4,1,16,30,6311.59
Singapore,2013,4,1,17,0,6258.95
Singapore,2013,4,1,17,30,6184.94
Singapore,2013,4,1,18,0,6059.75
Singapore,2013,4,1,18,30,5885.05
Singapore,2013,4,1,19,0,5833.37
Singapore,2013,4,1,19,30,5870.01
Singapore,2013,4,1,20,0,5867.94
Singapore,2013,4,1,20,30,5823.08
Singapore,2013,4,1,21,0,5789.02
Singapore,2013,4,1,21,30,5727.36
Singapore,2013,4,1,22,0,5634.17
Singapore,2013,4,1,22,30,5467.31
Singapore,2013,4,1,23,0,5345.86
Singapore,2013,4,1,23,30,5219.7
Singapore,2013,4,1,0,0,5091.17
Singapore,2013,4,2,0,30,4942.06
Singapore,2013,4,2,1,0,4825.67
Singapore,2013,4,2,1,30,4743.76
Singapore,2013,4,2,2,0,4688.41
Singapore,2013,4,2,2,30,4625.68
Singapore,2013,4,2,3,0,4574.9
Singapore,2013,4,2,3,30,4529.15
Singapore,2013,4,2,4,0,4502.05
Singapore,2013,4,2,4,30,4523.21
Singapore,2013,4,2,5,0,4509.7
Singapore,2013,4,2,5,30,4543.25
Singapore,2013,4,2,6,0,4659.11
Singapore,2013,4,2,6,30,4838.44
Singapore,2013,4,2,7,0,4970.99
Singapore,2013,4,2,7,30,5053.82
Singapore,2013,4,2,8,0,5280.2
Singapore,2013,4,2,8,30,5650.01
Singapore,2013,4,2,9,0,5952.72
Singapore,2013,4,2,9,30,6143.98
Singapore,2013,4,2,10,0,6241.11
Singapore,2013,4,2,10,30,6353.43
Singapore,2013,4,2,11,0,6425.61
Singapore,2013,4,2,11,30,6459.01
Singapore,2013,4,2,12,0,6439.97
Singapore,2013,4,2,12,30,6355.75
Singapore,2013,4,2,13,0,6349.89
Singapore,2013,4,2,13,30,6397.41
Singapore,2013,4,2,14,0,6425.47
Singapore,2013,4,2,14,30,6440.93
Singapore,2013,4,2,15,0,6406.83
Singapore,2013,4,2,15,30,6330.06
Singapore,2013,4,2,16,0,6323.53
Singapore,2013,4,2,16,30,6303.78
Singapore,2013,4,2,17,0,6316.51
Singapore,2013,4,2,17,30,6298.89
Singapore,2013,4,2,18,0,6196.35
Singapore,2013,4,2,18,30,6028.81
Singapore,2013,4,2,19,0,5985.54
Singapore,2013,4,2,19,30,6029.7
Singapore,2013,4,2,20,0,6012.53
Singapore,2013,4,2,20,30,5986.02
Singapore,2013,4,2,21,0,5949.57
Singapore,2013,4,2,21,30,5899.07
Singapore,2013,4,2,22,0,5825.11
Singapore,2013,4,2,22,30,5678.21
Singapore,2013,4,2,23,0,5527.94
Singapore,2013,4,2,23,30,5397.12
Singapore,2013,4,2,0,0,5264.8
Singapore,2013,4,3,0,30,5093.12
Singapore,2013,4,3,1,0,4985.98
Singapore,2013,4,3,1,30,4879.52
Singapore,2013,4,3,2,0,4811
Singapore,2013,4,3,2,30,4758.84
Singapore,2013,4,3,3,0,4693.16
Singapore,2013,4,3,3,30,4625.17
Singapore,2013,4,3,4,0,4584.95
Singapore,2013,4,3,4,30,4569.59
Singapore,2013,4,3,5,0,4535.59
Singapore,2013,4,3,5,30,4580.71
Singapore,2013,4,3,6,0,4670.02
Singapore,2013,4,3,6,30,4849.88
Singapore,2013,4,3,7,0,4970.67
Singapore,2013,4,3,7,30,5071.72
Singapore,2013,4,3,8,0,5282.51
Singapore,2013,4,3,8,30,5635.25
Singapore,2013,4,3,9,0,5893.45
Singapore,2013,4,3,9,30,6062.13
Singapore,2013,4,3,10,0,6163.32
Singapore,2013,4,3,10,30,6262.84
Singapore,2013,4,3,11,0,6302.06
Singapore,2013,4,3,11,30,6360.91
Singapore,2013,4,3,12,0,6341.42
Singapore,2013,4,3,12,30,6265.64
Singapore,2013,4,3,13,0,6257.87
Singapore,2013,4,3,13,30,6339.64
Singapore,2013,4,3,14,0,6397.74
Singapore,2013,4,3,14,30,6432.47
Singapore,2013,4,3,15,0,6430.69
Singapore,2013,4,3,15,30,6406.92
Singapore,2013,4,3,16,0,6396.68
Singapore,2013,4,3,16,30,6368.82
Singapore,2013,4,3,17,0,6320.5
Singapore,2013,4,3,17,30,6238.69
Singapore,2013,4,3,18,0,6126.76
Singapore,2013,4,3,18,30,5936.49
Singapore,2013,4,3,19,0,5893.89
Singapore,2013,4,3,19,30,5905.48
Singapore,2013,4,3,20,0,5881.18
Singapore,2013,4,3,20,30,5842.85
Singapore,2013,4,3,21,0,5806.98
