city,YR,M,D,HR,MIN,MW
Tema,2014,1,1,0,0,105.29
Tema,2014,1,1,1,0,105.50
Tema,2014,1,1,2,0,106.48
Tema,2014,1,1,3,0,105.75
Tema,2014,1,1,4,0,104.36
Tema,2014,1,1,5,0,100.32
Tema,2014,1,1,6,0,96.33
Tema,2014,1,1,7,0,74.41
Tema,2014,1,1,8,0,73.03
Tema,2014,1,1,9,0,76.37
Tema,2014,1,1,10,0,78.86
Tema,2014,1,1,11,0,81.29
Tema,2014,1,1,12,0,82.74
Tema,2014,1,1,13,0,84.14
Tema,2014,1,1,14,0,83.43
Tema,2014,1,1,15,0,83.53
Tema,2014,1,1,16,0,82.30
Tema,2014,1,1,17,0,95.24
Tema,2014,1,1,18,0,116.78
Tema,2014,1,1,19,0,119.36
Tema,2014,1,1,20,0,119.73
Tema,2014,1,1,21,0,119.74
Tema,2014,1,1,22,0,114.49
Tema,2014,1,1,23,0,110.37
Tema,2014,1,2,0,0,108.31
Tema,2014,1,2,1,0,106.63
Tema,2014,1,2,2,0,105.53
Tema,2014,1,2,3,0,103.94
Tema,2014,1,2,4,0,102.02
Tema,2014,1,2,5,0,104.09
Tema,2014,1,2,6,0,102.29
Tema,2014,1,2,7,0,94.36
Tema,2014,1,2,8,0,101.72
Tema,2014,1,2,9,0,106.86
Tema,2014,1,2,10,0,108.78
Tema,2014,1,2,11,0,107.47
Tema,2014,1,2,12,0,110.28
Tema,2014,1,2,13,0,110.55
Tema,2014,1,2,14,0,113.97
Tema,2014,1,2,15,0,114.78
Tema,2014,1,2,16,0,111.08
Tema,2014,1,2,17,0,109.83
Tema,2014,1,2,18,0,136.76
Tema,2014,1,2,19,0,137.52
Tema,2014,1,2,20,0,143.44
Tema,2014,1,2,21,0,145.24
Tema,2014,1,2,22,0,141.17
Tema,2014,1,2,23,0,134.59
Tema,2014,1,3,0,0,122.39
Tema,2014,1,3,1,0,121.66
Tema,2014,1,3,2,0,124.06
Tema,2014,1,3,3,0,126.88
Tema,2014,1,3,4,0,126.13
Tema,2014,1,3,5,0,126.03
Tema,2014,1,3,6,0,119.77
Tema,2014,1,3,7,0,120.46
