city,YR,M,D,HR,MIN,MW
Victoria,2000,1,1,0,30,4419.03667
Victoria,2000,1,1,1,0,4312.54
Victoria,2000,1,1,1,30,4599.70167
Victoria,2000,1,1,2,0,4478.99
Victoria,2000,1,1,2,30,4228.81
Victoria,2000,1,1,3,0,3989.1
Victoria,2000,1,1,3,30,3783.93167
Victoria,2000,1,1,4,0,3631.17167
Victoria,2000,1,1,4,30,3518.08167
Victoria,2000,1,1,5,0,3467.88
Victoria,2000,1,1,5,30,3393.39667
Victoria,2000,1,1,6,0,3376.70333
Victoria,2000,1,1,6,30,3429.2
Victoria,2000,1,1,7,0,3530.56833
Victoria,2000,1,1,7,30,3462.615
Victoria,2000,1,1,8,0,3494.16667
Victoria,2000,1,1,8,30,3561.20333
Victoria,2000,1,1,9,0,3626.165
Victoria,2000,1,1,9,30,3668.91167
Victoria,2000,1,1,10,0,3739.81167
Victoria,2000,1,1,10,30,3763.12
Victoria,2000,1,1,11,0,3788.46
Victoria,2000,1,1,11,30,3817.395
Victoria,2000,1,1,12,0,3767.77
Victoria,2000,1,1,12,30,3723.31167
Victoria,2000,1,1,13,0,3718.15333
Victoria,2000,1,1,13,30,3724.93667
Victoria,2000,1,1,14,0,3718.43667
Victoria,2000,1,1,14,30,3694.44167
Victoria,2000,1,1,15,0,3707.04167
Victoria,2000,1,1,15,30,3734.84
Victoria,2000,1,1,16,0,3823.265
Victoria,2000,1,1,16,30,3857.70333
Victoria,2000,1,1,17,0,3957.37
Victoria,2000,1,1,17,30,3938.97
Victoria,2000,1,1,18,0,3939.78
Victoria,2000,1,1,18,30,3931.095
Victoria,2000,1,1,19,0,3910.88833
Victoria,2000,1,1,19,30,3921.34
Victoria,2000,1,1,20,0,4013.48
Victoria,2000,1,1,20,30,4125.56333
Victoria,2000,1,1,21,0,4132.46333
Victoria,2000,1,1,21,30,4076.41833
Victoria,2000,1,1,22,0,3962.30333
Victoria,2000,1,1,22,30,3935.64
Victoria,2000,1,1,23,0,3935.03333
Victoria,2000,1,1,23,30,4355.33833
Victoria,2000,1,2,0,0,4318.56167
Victoria,2000,1,2,0,30,4176.185
Victoria,2000,1,2,1,0,4051.70167
Victoria,2000,1,2,1,30,4381.80167
Victoria,2000,1,2,2,0,4266.53333
Victoria,2000,1,2,2,30,4046.365
Victoria,2000,1,2,3,0,3828.565
Victoria,2000,1,2,3,30,3708.24167
Victoria,2000,1,2,4,0,3599.26833
Victoria,2000,1,2,4,30,3538.95333
Victoria,2000,1,2,5,0,3502.02667
Victoria,2000,1,2,5,30,3463.245
Victoria,2000,1,2,6,0,3511.21167
Victoria,2000,1,2,6,30,3587.63833
Victoria,2000,1,2,7,0,3711.34667
Victoria,2000,1,2,7,30,3707.33667
Victoria,2000,1,2,8,0,3769.35333
Victoria,2000,1,2,8,30,3894.96
Victoria,2000,1,2,9,0,3955.60667
Victoria,2000,1,2,9,30,4021.06167
Victoria,2000,1,2,10,0,4013.11667
Victoria,2000,1,2,10,30,4075.255
Victoria,2000,1,2,11,0,4095.69667
Victoria,2000,1,2,11,30,4100.285
Victoria,2000,1,2,12,0,4096.62167
Victoria,2000,1,2,12,30,4096.26333
Victoria,2000,1,2,13,0,4091.11833
Victoria,2000,1,2,13,30,4082.39167
Victoria,2000,1,2,14,0,4063.87667
Victoria,2000,1,2,14,30,4065.61667
Victoria,2000,1,2,15,0,4079.405
Victoria,2000,1,2,15,30,4109.75
Victoria,2000,1,2,16,0,4192.68333
Victoria,2000,1,2,16,30,4210.41833
Victoria,2000,1,2,17,0,4248.28833
Victoria,2000,1,2,17,30,4254.07
Victoria,2000,1,2,18,0,4243.30333
Victoria,2000,1,2,18,30,4202.37167
Victoria,2000,1,2,19,0,4127.45167
Victoria,2000,1,2,19,30,4098.17833
Victoria,2000,1,2,20,0,4151.41
Victoria,2000,1,2,20,30,4266.90833
Victoria,2000,1,2,21,0,4273.38833
Victoria,2000,1,2,21,30,4204.415
Victoria,2000,1,2,22,0,4116.195
Victoria,2000,1,2,22,30,4077.19333
Victoria,2000,1,2,23,0,4067.60833
Victoria,2000,1,2,23,30,4481.16333
Victoria,2000,1,3,0,0,4452.81167
Victoria,2000,1,3,0,30,4299.03833
Victoria,2000,1,3,1,0,4154.86667
Victoria,2000,1,3,1,30,4445.24167
Victoria,2000,1,3,2,0,4332.64833
Victoria,2000,1,3,2,30,4108.40167
Victoria,2000,1,3,3,0,3886.66
Victoria,2000,1,3,3,30,3762.98333
Victoria,2000,1,3,4,0,3673.40833
Victoria,2000,1,3,4,30,3613.88667
