"city","YR","MWh"
"Abidjan",2010,3425799.13095758
"Abidjan",2011,3233310.2268694
"Abidjan",2012,3833629.35507466
"Abidjan",2013,4084633.17914433
"Antigua",2011,345563.641
"Chandigarh",2011,1307550.6877
"Chandigarh",2012,1680301.97025
"Chandigarh",2013,1455772.7042
"Dakar",2011,2758646.17450756
"Dakar",2012,2841365.45447973
"Dakar",2013,2960160.14220929
"Dakar",2014,3123199.34885184
"Delhi - BRPL",2010,8475981.5362542
"Delhi - BRPL",2011,10797238.3902709
"Delhi - BRPL",2012,11186381.4256177
"Delhi - BRPL",2013,1667152.63816
"Delhi - BYPL",2010,4860555.648707
"Delhi - BYPL",2011,6193171.661008
"Delhi - BYPL",2012,6331982.0416287
"Delhi - BYPL",2013,929309.03252
"Delhi - MES",2010,165510.597595
"Delhi - MES",2011,218864.98031
"Delhi - MES",2012,230185.5062
"Delhi - MES",2013,47491.5598
"Delhi - NDMC",2010,1044469.76224138
"Delhi - NDMC",2011,1427171.874772
"Delhi - NDMC",2012,1336745.210614
"Delhi - NDMC",2013,227069.62526
"Delhi - NDPL",2010,5803737.7455476
"Delhi - NDPL",2011,7261966.943475
"Delhi - NDPL",2012,7562213.4504438
"Delhi - NDPL",2013,1212301.209416
"Delhi",2012,18665072.239
"Delhi",2013,4960881.66533333
"Chattanooga",2006,6177232.68
"Chattanooga",2007,6286728.22
"Chattanooga",2008,6148564.9
"Chattanooga",2009,5811954.17
"Chattanooga",2010,6310102.75
"Chattanooga",2011,5283612.09
"Chattanooga",2012,4889971.74
"Chattanooga",2013,5891078.36
"City of Independence",2006,0
"City of North Little Rock",2008,0
"City of North Little Rock",2009,0
"City of North Little Rock",2010,999940
"City of North Little Rock",2011,1029161
"City of North Little Rock",2012,1028398
"City of North Little Rock",2013,996774
"Colorado Springs",2006,4675335
"Colorado Springs",2007,4737327
"Colorado Springs",2008,4720541
"Colorado Springs",2009,4565728
"Colorado Springs",2010,4684252
"Colorado Springs",2011,4736053
"Colorado Springs",2012,4743362
"Colorado Springs",2013,4751402
"Detroit",2006,56290881
"Detroit",2007,57038710
"Detroit",2008,54171515
"El Paso",2006,7486059
"El Paso",2007,7704032
"El Paso",2008,7654024
"El Paso",2009,7705379
"El Paso",2010,8047014
"El Paso",2011,8341302
"El Paso",2012,8400300
"El Paso",2013,8353796
"Eugene",2006,2790491
"Eugene",2007,2783608
"Eugene",2008,2712629.3
"Eugene",2009,2494545
"Eugene",2010,2462849
"Eugene",2011,2489159.23
"Eugene",2012,2457433.81
"Eugene",2013,2489298
"Honolulu",2006,8381479
"Honolulu",2007,8365502.52
"Honolulu",2008,8207042.69
"Honolulu",2009,8013235.97
"Honolulu",2010,7932971.08
"Honolulu",2011,7869489.47
"Honolulu",2012,7563814.03
"Honolulu",2013,7420155.99
"Indianapolis",2006,15602799
"Indianapolis",2007,16299441
"Indianapolis",2008,15979927
"Kansas City",2006,2657685
"Kansas City",2007,2598000
"Kansas City",2008,2531847
"Kansas City",2009,2393504
"Kansas City",2010,2551191
"Kansas City",2011,2482651
"Kansas City",2012,2442884
"Kansas City",2013,2384197
"Los Angeles",2006,27469413
"Los Angeles",2007,27563870.53
"Los Angeles",2008,28169938
"Los Angeles",2009,26822924
"Los Angeles",2010,25968086
"Los Angeles",2011,26559404.34
"Los Angeles",2012,27127430.34
"Los Angeles",2013,26561008.8
"Louisville",2006,35905350
"Louisville",2007,37660440
"Louisville",2008,36521997
"Louisville",2009,34818963
"Louisville",2010,38295666
"Louisville",2011,36425266
"Louisville",2012,36417942
"Louisville",2013,36690911
"Memphis",2006,15388884
"Memphis",2007,15887197.09
"Memphis",2008,15172720
"Memphis",2009,14376466
"Memphis",2010,15446545
"Memphis",2011,14878466
"Memphis",2012,14672424
"Memphis",2013,14453657
"New York State Elec & Gas Corp",2006,15931487
"New York State Elec & Gas Corp",2007,16371968
"New York State Elec & Gas Corp",2008,16052678
"New York State Elec & Gas Corp",2009,15478454
