"hours","city","USAFID","distance","rank","YR","M","D","HR","LAT","LONG","ELEV","TEMP","DEW.POINT"
"2010-01-01 00:00:00","Abidjan",655780,13.3968831540935,1,2010,1,1,0,5.25,-3.933,8,27.5,26.5
"2010-01-01 01:00:00","Abidjan",655780,13.3968831540935,1,2010,1,1,1,5.25,-3.933,8,28,27
"2010-01-01 02:00:00","Abidjan",655780,13.3968831540935,1,2010,1,1,2,5.25,-3.933,8,28,28
"2010-01-01 03:00:00","Abidjan",655780,13.3968831540935,1,2010,1,1,3,5.25,-3.933,8,27.65,26.3
"2010-01-01 04:00:00","Abidjan",655780,13.3968831540935,1,2010,1,1,4,5.25,-3.933,8,28,26
"2010-01-01 05:00:00","Abidjan",655780,13.3968831540935,1,2010,1,1,5,5.25,-3.933,8,27,26
"2010-01-01 06:00:00","Abidjan",655780,13.3968831540935,1,2010,1,1,6,5.25,-3.933,8,26.9333333333333,26.1333333333333
"2010-01-01 07:00:00","Abidjan",655780,13.3968831540935,1,2010,1,1,7,5.25,-3.933,8,27,25.75
"2010-01-01 08:00:00","Abidjan",655780,13.3968831540935,1,2010,1,1,8,5.25,-3.933,8,27,25
"2010-01-01 09:00:00","Abidjan",655780,13.3968831540935,1,2010,1,1,9,5.25,-3.933,8,26.85,25.15
"2010-01-01 10:00:00","Abidjan",655780,13.3968831540935,1,2010,1,1,10,5.25,-3.933,8,28,25
"2010-01-01 11:00:00","Abidjan",655780,13.3968831540935,1,2010,1,1,11,5.25,-3.933,8,28,25
"2010-01-01 12:00:00","Abidjan",655780,13.3968831540935,1,2010,1,1,12,5.25,-3.933,8,28.15,25.15
"2010-01-01 13:00:00","Abidjan",655780,13.3968831540935,1,2010,1,1,13,5.25,-3.933,8,31,27
"2010-01-01 14:00:00","Abidjan",655780,13.3968831540935,1,2010,1,1,14,5.25,-3.933,8,31,27
"2010-01-01 15:00:00","Abidjan",655780,13.3968831540935,1,2010,1,1,15,5.25,-3.933,8,30.8,27.15
"2010-01-01 16:00:00","Abidjan",655780,13.3968831540935,1,2010,1,1,16,5.25,-3.933,8,31,27
"2010-01-01 17:00:00","Abidjan",655780,13.3968831540935,1,2010,1,1,17,5.25,-3.933,8,30,27
"2010-01-01 18:00:00","Abidjan",655780,13.3968831540935,1,2010,1,1,18,5.25,-3.933,8,29,26.75
"2010-01-01 19:00:00","Abidjan",655780,13.3968831540935,1,2010,1,1,19,5.25,-3.933,8,28,25.5
"2010-01-01 20:00:00","Abidjan",655780,13.3968831540935,1,2010,1,1,20,5.25,-3.933,8,28,26
"2010-01-01 21:00:00","Abidjan",655780,13.3968831540935,1,2010,1,1,21,5.25,-3.933,8,27.15,25.95
"2010-01-01 22:00:00","Abidjan",655780,13.3968831540935,1,2010,1,1,22,5.25,-3.933,8,27,26
"2010-01-01 23:00:00","Abidjan",655780,13.3968831540935,1,2010,1,1,23,5.25,-3.933,8,27,26
"2010-01-02 00:00:00","Abidjan",655780,13.3968831540935,1,2010,1,2,0,5.25,-3.933,8,26.8,25.9
"2010-01-02 01:00:00","Abidjan",655780,13.3968831540935,1,2010,1,2,1,5.25,-3.933,8,27,26
"2010-01-02 02:00:00","Abidjan",655780,13.3968831540935,1,2010,1,2,2,5.25,-3.933,8,26,26
"2010-01-02 03:00:00","Abidjan",655780,13.3968831540935,1,2010,1,2,3,5.25,-3.933,8,25.7875,25.7375
"2010-01-02 04:00:00","Abidjan",655780,13.3968831540935,1,2010,1,2,4,5.25,-3.933,8,25.575,25.475
"2010-01-02 05:00:00","Abidjan",655780,13.3968831540935,1,2010,1,2,5,5.25,-3.933,8,25.3625,25.2125
