"hours","city","USAFID","distance","rank","YR","M","D","HR","LAT","LONG","ELEV","TEMP","DEW.POINT"
2011-01-01 00:00:00,"Amman",402700,4.73446715097945,1,2011,1,1,0,31.983,35.983,779,10,9.2
2011-01-01 01:00:00,"Amman",402700,4.73446715097945,1,2011,1,1,1,31.983,35.983,779,10,9
2011-01-01 02:00:00,"Amman",402700,4.73446715097945,1,2011,1,1,2,31.983,35.983,779,10,9
2011-01-01 03:00:00,"Amman",402700,4.73446715097945,1,2011,1,1,3,31.983,35.983,779,10,9
2011-01-01 04:00:00,"Amman",402700,4.73446715097945,1,2011,1,1,4,31.983,35.983,779,10,8
2011-01-01 05:00:00,"Amman",402700,4.73446715097945,1,2011,1,1,5,31.983,35.983,779,10,8
2011-01-01 06:00:00,"Amman",402700,4.73446715097945,1,2011,1,1,6,31.983,35.983,779,10,7.4
2011-01-01 07:00:00,"Amman",402700,4.73446715097945,1,2011,1,1,7,31.983,35.983,779,10,8
2011-01-01 08:00:00,"Amman",402700,4.73446715097945,1,2011,1,1,8,31.983,35.983,779,11,8
2011-01-01 09:00:00,"Amman",402700,4.73446715097945,1,2011,1,1,9,31.983,35.983,779,11.6,6.8
2011-01-01 10:00:00,"Amman",402700,4.73446715097945,1,2011,1,1,10,31.983,35.983,779,12,7
2011-01-01 11:00:00,"Amman",402700,4.73446715097945,1,2011,1,1,11,31.983,35.983,779,13,8
2011-01-01 12:00:00,"Amman",402700,4.73446715097945,1,2011,1,1,12,31.983,35.983,779,12,7
2011-01-01 13:00:00,"Amman",402700,4.73446715097945,1,2011,1,1,13,31.983,35.983,779,12,7
2011-01-01 14:00:00,"Amman",402700,4.73446715097945,1,2011,1,1,14,31.983,35.983,779,11,8
2011-01-01 15:00:00,"Amman",402700,4.73446715097945,1,2011,1,1,15,31.983,35.983,779,10.8,7.2
2011-01-01 16:00:00,"Amman",402700,4.73446715097945,1,2011,1,1,16,31.983,35.983,779,11,7
2011-01-01 17:00:00,"Amman",402700,4.73446715097945,1,2011,1,1,17,31.983,35.983,779,10,7
2011-01-01 18:00:00,"Amman",402700,4.73446715097945,1,2011,1,1,18,31.983,35.983,779,10.6,7.4
2011-01-01 19:00:00,"Amman",402700,4.73446715097945,1,2011,1,1,19,31.983,35.983,779,11,7
2011-01-01 20:00:00,"Amman",402700,4.73446715097945,1,2011,1,1,20,31.983,35.983,779,9,7
2011-01-01 21:00:00,"Amman",402700,4.73446715097945,1,2011,1,1,21,31.983,35.983,779,9,7
2011-01-01 22:00:00,"Amman",402700,4.73446715097945,1,2011,1,1,22,31.983,35.983,779,8,6
2011-01-01 23:00:00,"Amman",402700,4.73446715097945,1,2011,1,1,23,31.983,35.983,779,8,6
2011-01-02 00:00:00,"Amman",402700,4.73446715097945,1,2011,1,2,0,31.983,35.983,779,7.8,6.1
2011-01-02 01:00:00,"Amman",402700,4.73446715097945,1,2011,1,2,1,31.983,35.983,779,7,5
2011-01-02 02:00:00,"Amman",402700,4.73446715097945,1,2011,1,2,2,31.983,35.983,779,7,6
2011-01-02 03:00:00,"Amman",402700,4.73446715097945,1,2011,1,2,3,31.983,35.983,779,7,5
2011-01-02 04:00:00,"Amman",402700,4.73446715097945,1,2011,1,2,4,31.983,35.983,779,8,5
2011-01-02 05:00:00,"Amman",402700,4.73446715097945,1,2011,1,2,5,31.983,35.983,779,8,6
2011-01-02 06:00:00,"Amman",402700,4.73446715097945,1,2011,1,2,6,31.983,35.983,779,8,7
2011-01-02 07:00:00,"Amman",402700,4.73446715097945,1,2011,1,2,7,31.983,35.983,779,10,7.5
2011-01-02 08:00:00,"Amman",402700,4.73446715097945,1,2011,1,2,8,31.983,35.983,779,12,8
2011-01-02 09:00:00,"Amman",402700,4.73446715097945,1,2011,1,2,9,31.983,35.983,779,12.4,7.6
2011-01-02 10:00:00,"Amman",402700,4.73446715097945,1,2011,1,2,10,31.983,35.983,779,12.8,7.2
2011-01-02 11:00:00,"Amman",402700,4.73446715097945,1,2011,1,2,11,31.983,35.983,779,13.2,6.8
2011-01-02 12:00:00,"Amman",402700,4.73446715097945,1,2011,1,2,12,31.983,35.983,779,13.6,6.4
2011-01-02 13:00:00,"Amman",402700,4.73446715097945,1,2011,1,2,13,31.983,35.983,779,15,6
2011-01-02 14:00:00,"Amman",402700,4.73446715097945,1,2011,1,2,14,31.983,35.983,779,14,6
2011-01-02 15:00:00,"Amman",402700,4.73446715097945,1,2011,1,2,15,31.983,35.983,779,12.6,6.3
2011-01-02 16:00:00,"Amman",402700,4.73446715097945,1,2011,1,2,16,31.983,35.983,779,12,6
2011-01-02 17:00:00,"Amman",402700,4.73446715097945,1,2011,1,2,17,31.983,35.983,779,11.7,5.8
2011-01-02 18:00:00,"Amman",402700,4.73446715097945,1,2011,1,2,18,31.983,35.983,779,11.4,5.6
2011-01-02 19:00:00,"Amman",402700,4.73446715097945,1,2011,1,2,19,31.983,35.983,779,11,7
2011-01-02 20:00:00,"Amman",402700,4.73446715097945,1,2011,1,2,20,31.983,35.983,779,11,4
2011-01-02 21:00:00,"Amman",402700,4.73446715097945,1,2011,1,2,21,31.983,35.983,779,10.6,5.1
2011-01-02 22:00:00,"Amman",402700,4.73446715097945,1,2011,1,2,22,31.983,35.983,779,10,5
2011-01-02 23:00:00,"Amman",402700,4.73446715097945,1,2011,1,2,23,31.983,35.983,779,9,6
2011-01-03 00:00:00,"Amman",402700,4.73446715097945,1,2011,1,3,0,31.983,35.983,779,8.6,5.2
2011-01-03 01:00:00,"Amman",402700,4.73446715097945,1,2011,1,3,1,31.983,35.983,779,8,5
2011-01-03 02:00:00,"Amman",402700,4.73446715097945,1,2011,1,3,2,31.983,35.983,779,7,4
2011-01-03 03:00:00,"Amman",402700,4.73446715097945,1,2011,1,3,3,31.983,35.983,779,7.3,4.4
2011-01-03 04:00:00,"Amman",402700,4.73446715097945,1,2011,1,3,4,31.983,35.983,779,6,4
2011-01-03 05:00:00,"Amman",402700,4.73446715097945,1,2011,1,3,5,31.983,35.983,779,6,4
2011-01-03 06:00:00,"Amman",402700,4.73446715097945,1,2011,1,3,6,31.983,35.983,779,6,4
2011-01-03 07:00:00,"Amman",402700,4.73446715097945,1,2011,1,3,7,31.983,35.983,779,8,4
2011-01-03 08:00:00,"Amman",402700,4.73446715097945,1,2011,1,3,8,31.983,35.983,779,10,4
2011-01-03 09:00:00,"Amman",402700,4.73446715097945,1,2011,1,3,9,31.983,35.983,779,10.6,5.1
2011-01-03 10:00:00,"Amman",402700,4.73446715097945,1,2011,1,3,10,31.983,35.983,779,11,6
2011-01-03 11:00:00,"Amman",402700,4.73446715097945,1,2011,1,3,11,31.983,35.983,779,12,6
2011-01-03 12:00:00,"Amman",402700,4.73446715097945,1,2011,1,3,12,31.983,35.983,779,12.2,5.1
2011-01-03 13:00:00,"Amman",402700,4.73446715097945,1,2011,1,3,13,31.983,35.983,779,12,6
2011-01-03 14:00:00,"Amman",402700,4.73446715097945,1,2011,1,3,14,31.983,35.983,779,12,5
2011-01-03 15:00:00,"Amman",402700,4.73446715097945,1,2011,1,3,15,31.983,35.983,779,11.2,5.8
2011-01-03 16:00:00,"Amman",402700,4.73446715097945,1,2011,1,3,16,31.983,35.983,779,10,6
2011-01-03 17:00:00,"Amman",402700,4.73446715097945,1,2011,1,3,17,31.983,35.983,779,10,6
2011-01-03 18:00:00,"Amman",402700,4.73446715097945,1,2011,1,3,18,31.983,35.983,779,9.8,5.6
2011-01-03 19:00:00,"Amman",402700,4.73446715097945,1,2011,1,3,19,31.983,35.983,779,9,6
2011-01-03 20:00:00,"Amman",402700,4.73446715097945,1,2011,1,3,20,31.983,35.983,779,9,6
2011-01-03 21:00:00,"Amman",402700,4.73446715097945,1,2011,1,3,21,31.983,35.983,779,8.5,5.5
2011-01-03 22:00:00,"Amman",402700,4.73446715097945,1,2011,1,3,22,31.983,35.983,779,9,4
2011-01-03 23:00:00,"Amman",402700,4.73446715097945,1,2011,1,3,23,31.983,35.983,779,9,5
2011-01-04 00:00:00,"Amman",402700,4.73446715097945,1,2011,1,4,0,31.983,35.983,779,7.3,4.9
2011-01-04 01:00:00,"Amman",402700,4.73446715097945,1,2011,1,4,1,31.983,35.983,779,7,5
2011-01-04 02:00:00,"Amman",402700,4.73446715097945,1,2011,1,4,2,31.983,35.983,779,7,5
2011-01-04 03:00:00,"Amman",402700,4.73446715097945,1,2011,1,4,3,31.983,35.983,779,7.2,5.3
2011-01-04 04:00:00,"Amman",402700,4.73446715097945,1,2011,1,4,4,31.983,35.983,779,7,5
2011-01-04 05:00:00,"Amman",402700,4.73446715097945,1,2011,1,4,5,31.983,35.983,779,8,6
2011-01-04 06:00:00,"Amman",402700,4.73446715097945,1,2011,1,4,6,31.983,35.983,779,9,5.6
2011-01-04 07:00:00,"Amman",402700,4.73446715097945,1,2011,1,4,7,31.983,35.983,779,11,7
2011-01-04 08:00:00,"Amman",402700,4.73446715097945,1,2011,1,4,8,31.983,35.983,779,12,7
2011-01-04 09:00:00,"Amman",402700,4.73446715097945,1,2011,1,4,9,31.983,35.983,779,11.8,6.1
2011-01-04 10:00:00,"Amman",402700,4.73446715097945,1,2011,1,4,10,31.983,35.983,779,12,6
2011-01-04 11:00:00,"Amman",402700,4.73446715097945,1,2011,1,4,11,31.983,35.983,779,13,7
2011-01-04 12:00:00,"Amman",402700,4.73446715097945,1,2011,1,4,12,31.983,35.983,779,13,6
2011-01-04 13:00:00,"Amman",402700,4.73446715097945,1,2011,1,4,13,31.983,35.983,779,13,7
2011-01-04 14:00:00,"Amman",402700,4.73446715097945,1,2011,1,4,14,31.983,35.983,779,11,7
2011-01-04 15:00:00,"Amman",402700,4.73446715097945,1,2011,1,4,15,31.983,35.983,779,11,7
2011-01-04 16:00:00,"Amman",402700,4.73446715097945,1,2011,1,4,16,31.983,35.983,779,11,6
2011-01-04 17:00:00,"Amman",402700,4.73446715097945,1,2011,1,4,17,31.983,35.983,779,10,7
2011-01-04 18:00:00,"Amman",402700,4.73446715097945,1,2011,1,4,18,31.983,35.983,779,9.8,7
2011-01-04 19:00:00,"Amman",402700,4.73446715097945,1,2011,1,4,19,31.983,35.983,779,10,7
2011-01-04 20:00:00,"Amman",402700,4.73446715097945,1,2011,1,4,20,31.983,35.983,779,9.35,6.6
2011-01-04 21:00:00,"Amman",402700,4.73446715097945,1,2011,1,4,21,31.983,35.983,779,8.7,6.2
2011-01-04 22:00:00,"Amman",402700,4.73446715097945,1,2011,1,4,22,31.983,35.983,779,9,6
2011-01-04 23:00:00,"Amman",402700,4.73446715097945,1,2011,1,4,23,31.983,35.983,779,8,5
2011-01-05 00:00:00,"Amman",402700,4.73446715097945,1,2011,1,5,0,31.983,35.983,779,8,4
2011-01-05 01:00:00,"Amman",402700,4.73446715097945,1,2011,1,5,1,31.983,35.983,779,7,5
2011-01-05 02:00:00,"Amman",402700,4.73446715097945,1,2011,1,5,2,31.983,35.983,779,7,5
2011-01-05 03:00:00,"Amman",402700,4.73446715097945,1,2011,1,5,3,31.983,35.983,779,7.5,3.7
2011-01-05 04:00:00,"Amman",402700,4.73446715097945,1,2011,1,5,4,31.983,35.983,779,7,4
2011-01-05 05:00:00,"Amman",402700,4.73446715097945,1,2011,1,5,5,31.983,35.983,779,7,4
2011-01-05 06:00:00,"Amman",402700,4.73446715097945,1,2011,1,5,6,31.983,35.983,779,7.8,7.8
2011-01-05 07:00:00,"Amman",402700,4.73446715097945,1,2011,1,5,7,31.983,35.983,779,9,4
2011-01-05 08:00:00,"Amman",402700,4.73446715097945,1,2011,1,5,8,31.983,35.983,779,11,4
2011-01-05 09:00:00,"Amman",402700,4.73446715097945,1,2011,1,5,9,31.983,35.983,779,11.6,3.9
2011-01-05 10:00:00,"Amman",402700,4.73446715097945,1,2011,1,5,10,31.983,35.983,779,12,2
2011-01-05 11:00:00,"Amman",402700,4.73446715097945,1,2011,1,5,11,31.983,35.983,779,12.4,1.05
2011-01-05 12:00:00,"Amman",402700,4.73446715097945,1,2011,1,5,12,31.983,35.983,779,12.8,0.1
2011-01-05 13:00:00,"Amman",402700,4.73446715097945,1,2011,1,5,13,31.983,35.983,779,12.3333333333333,1.1
2011-01-05 14:00:00,"Amman",402700,4.73446715097945,1,2011,1,5,14,31.983,35.983,779,11.8666666666667,2.1
2011-01-05 15:00:00,"Amman",402700,4.73446715097945,1,2011,1,5,15,31.983,35.983,779,11.4,3.1
2011-01-05 16:00:00,"Amman",402700,4.73446715097945,1,2011,1,5,16,31.983,35.983,779,11,4
2011-01-05 17:00:00,"Amman",402700,4.73446715097945,1,2011,1,5,17,31.983,35.983,779,10,5
