"hours","city","USAFID","distance","rank","YR","M","D","HR","LAT","LONG","ELEV","TEMP","DEW.POINT"
2011-01-01 00:00:00,"Antigua",788620,7.40456439728774,2,2011,1,1,0,17.117,-61.783,19,23.8,15
2011-01-01 01:00:00,"Antigua",788620,7.40456439728774,2,2011,1,1,1,17.117,-61.783,19,24,15
2011-01-01 02:00:00,"Antigua",788620,7.40456439728774,2,2011,1,1,2,17.117,-61.783,19,24,15
2011-01-01 03:00:00,"Antigua",788620,7.40456439728774,2,2011,1,1,3,17.117,-61.783,19,23.7,16.3
2011-01-01 04:00:00,"Antigua",788620,7.40456439728774,2,2011,1,1,4,17.117,-61.783,19,23,16
2011-01-01 05:00:00,"Antigua",788620,7.40456439728774,2,2011,1,1,5,17.117,-61.783,19,24,16
2011-01-01 06:00:00,"Antigua",788620,7.40456439728774,2,2011,1,1,6,17.117,-61.783,19,23.6,16.7
2011-01-01 07:00:00,"Antigua",788620,7.40456439728774,2,2011,1,1,7,17.117,-61.783,19,24,17
2011-01-01 08:00:00,"Antigua",788620,7.40456439728774,2,2011,1,1,8,17.117,-61.783,19,23,17
2011-01-01 09:00:00,"Antigua",788620,7.40456439728774,2,2011,1,1,9,17.117,-61.783,19,23.2,17.3
2011-01-01 10:00:00,"Antigua",788620,7.40456439728774,2,2011,1,1,10,17.117,-61.783,19,23,17
2011-01-01 11:00:00,"Antigua",788620,7.40456439728774,2,2011,1,1,11,17.117,-61.783,19,23,19
2011-01-01 12:00:00,"Antigua",788620,7.40456439728774,2,2011,1,1,12,17.117,-61.783,19,24,18.3
2011-01-01 13:00:00,"Antigua",788620,7.40456439728774,2,2011,1,1,13,17.117,-61.783,19,25,19
2011-01-01 14:00:00,"Antigua",788620,7.40456439728774,2,2011,1,1,14,17.117,-61.783,19,25,18
2011-01-01 15:00:00,"Antigua",788620,7.40456439728774,2,2011,1,1,15,17.117,-61.783,19,26.4,18.2
2011-01-01 16:00:00,"Antigua",788620,7.40456439728774,2,2011,1,1,16,17.117,-61.783,19,27,19
2011-01-01 17:00:00,"Antigua",788620,7.40456439728774,2,2011,1,1,17,17.117,-61.783,19,27,19
2011-01-01 18:00:00,"Antigua",788620,7.40456439728774,2,2011,1,1,18,17.117,-61.783,19,26.6,18.7
2011-01-01 19:00:00,"Antigua",788620,7.40456439728774,2,2011,1,1,19,17.117,-61.783,19,25,19
2011-01-01 20:00:00,"Antigua",788620,7.40456439728774,2,2011,1,1,20,17.117,-61.783,19,25,18
2011-01-01 21:00:00,"Antigua",788620,7.40456439728774,2,2011,1,1,21,17.117,-61.783,19,24.4,17.6
2011-01-01 22:00:00,"Antigua",788620,7.40456439728774,2,2011,1,1,22,17.117,-61.783,19,24,18
2011-01-01 23:00:00,"Antigua",788620,7.40456439728774,2,2011,1,1,23,17.117,-61.783,19,24,18
