"hours","city","USAFID","distance","rank","YR","M","D","HR","LAT","LONG","ELEV","TEMP","DEW.POINT"
2011-01-01 00:00:00,"Beirut",401000,7.55164045246329,1,2011,1,1,0,33.817,35.483,19,14.6,11.7
2011-01-01 01:00:00,"Beirut",401000,7.55164045246329,1,2011,1,1,1,33.817,35.483,19,14,11
2011-01-01 02:00:00,"Beirut",401000,7.55164045246329,1,2011,1,1,2,33.817,35.483,19,14,10.5
2011-01-01 03:00:00,"Beirut",401000,7.55164045246329,1,2011,1,1,3,33.817,35.483,19,14.4,11
2011-01-01 04:00:00,"Beirut",401000,7.55164045246329,1,2011,1,1,4,33.817,35.483,19,14,10
2011-01-01 05:00:00,"Beirut",401000,7.55164045246329,1,2011,1,1,5,33.817,35.483,19,14,9
2011-01-01 06:00:00,"Beirut",401000,7.55164045246329,1,2011,1,1,6,33.817,35.483,19,14.5,10.1
2011-01-01 07:00:00,"Beirut",401000,7.55164045246329,1,2011,1,1,7,33.817,35.483,19,15,10
2011-01-01 08:00:00,"Beirut",401000,7.55164045246329,1,2011,1,1,8,33.817,35.483,19,17,11
2011-01-01 09:00:00,"Beirut",401000,7.55164045246329,1,2011,1,1,9,33.817,35.483,19,17.7,10.9
2011-01-01 10:00:00,"Beirut",401000,7.55164045246329,1,2011,1,1,10,33.817,35.483,19,17,8
2011-01-01 11:00:00,"Beirut",401000,7.55164045246329,1,2011,1,1,11,33.817,35.483,19,16,10
2011-01-01 12:00:00,"Beirut",401000,7.55164045246329,1,2011,1,1,12,33.817,35.483,19,16,11
2011-01-01 13:00:00,"Beirut",401000,7.55164045246329,1,2011,1,1,13,33.817,35.483,19,16,11
2011-01-01 14:00:00,"Beirut",401000,7.55164045246329,1,2011,1,1,14,33.817,35.483,19,15,11
2011-01-01 15:00:00,"Beirut",401000,7.55164045246329,1,2011,1,1,15,33.817,35.483,19,15,11
2011-01-01 16:00:00,"Beirut",401000,7.55164045246329,1,2011,1,1,16,33.817,35.483,19,15,11
2011-01-01 17:00:00,"Beirut",401000,7.55164045246329,1,2011,1,1,17,33.817,35.483,19,15,10
2011-01-01 18:00:00,"Beirut",401000,7.55164045246329,1,2011,1,1,18,33.817,35.483,19,16,10
2011-01-01 19:00:00,"Beirut",401000,7.55164045246329,1,2011,1,1,19,33.817,35.483,19,16,10
2011-01-01 20:00:00,"Beirut",401000,7.55164045246329,1,2011,1,1,20,33.817,35.483,19,15,9
2011-01-01 21:00:00,"Beirut",401000,7.55164045246329,1,2011,1,1,21,33.817,35.483,19,14,9
2011-01-01 22:00:00,"Beirut",401000,7.55164045246329,1,2011,1,1,22,33.817,35.483,19,14,8
2011-01-01 23:00:00,"Beirut",401000,7.55164045246329,1,2011,1,1,23,33.817,35.483,19,14,7
2011-01-02 00:00:00,"Beirut",401000,7.55164045246329,1,2011,1,2,0,33.817,35.483,19,14,7
2011-01-02 01:00:00,"Beirut",401000,7.55164045246329,1,2011,1,2,1,33.817,35.483,19,14,6
2011-01-02 02:00:00,"Beirut",401000,7.55164045246329,1,2011,1,2,2,33.817,35.483,19,14,7
2011-01-02 03:00:00,"Beirut",401000,7.55164045246329,1,2011,1,2,3,33.817,35.483,19,14,7
2011-01-02 04:00:00,"Beirut",401000,7.55164045246329,1,2011,1,2,4,33.817,35.483,19,14,7
2011-01-02 05:00:00,"Beirut",401000,7.55164045246329,1,2011,1,2,5,33.817,35.483,19,14,7
2011-01-02 06:00:00,"Beirut",401000,7.55164045246329,1,2011,1,2,6,33.817,35.483,19,15,7
2011-01-02 07:00:00,"Beirut",401000,7.55164045246329,1,2011,1,2,7,33.817,35.483,19,16,8
2011-01-02 08:00:00,"Beirut",401000,7.55164045246329,1,2011,1,2,8,33.817,35.483,19,17,9
2011-01-02 09:00:00,"Beirut",401000,7.55164045246329,1,2011,1,2,9,33.817,35.483,19,18,8
2011-01-02 10:00:00,"Beirut",401000,7.55164045246329,1,2011,1,2,10,33.817,35.483,19,19,9
2011-01-02 11:00:00,"Beirut",401000,7.55164045246329,1,2011,1,2,11,33.817,35.483,19,19,8
