"hours","city","USAFID","distance","rank","YR","M","D","HR","LAT","LONG","ELEV","TEMP","DEW.POINT"
2011-01-01 00:00:00,"Delhi",421810,13.5886893991407,2,2011,1,1,0,28.567,77.117,233,9.5,9.5
2011-01-01 01:00:00,"Delhi",421810,13.5886893991407,2,2011,1,1,1,28.567,77.117,233,9,9
2011-01-01 02:00:00,"Delhi",421810,13.5886893991407,2,2011,1,1,2,28.567,77.117,233,9,9
2011-01-01 03:00:00,"Delhi",421810,13.5886893991407,2,2011,1,1,3,28.567,77.117,233,9,9
2011-01-01 04:00:00,"Delhi",421810,13.5886893991407,2,2011,1,1,4,28.567,77.117,233,10,9.5
2011-01-01 05:00:00,"Delhi",421810,13.5886893991407,2,2011,1,1,5,28.567,77.117,233,11,10
2011-01-01 06:00:00,"Delhi",421810,13.5886893991407,2,2011,1,1,6,28.567,77.117,233,12,9.5
2011-01-01 07:00:00,"Delhi",421810,13.5886893991407,2,2011,1,1,7,28.567,77.117,233,14,9
2011-01-01 08:00:00,"Delhi",421810,13.5886893991407,2,2011,1,1,8,28.567,77.117,233,15,10
2011-01-01 09:00:00,"Delhi",421810,13.5886893991407,2,2011,1,1,9,28.567,77.117,233,15.5,10
2011-01-01 10:00:00,"Delhi",421810,13.5886893991407,2,2011,1,1,10,28.567,77.117,233,15.5,9.5
2011-01-01 11:00:00,"Delhi",421810,13.5886893991407,2,2011,1,1,11,28.567,77.117,233,15,9.5
2011-01-01 12:00:00,"Delhi",421810,13.5886893991407,2,2011,1,1,12,28.567,77.117,233,13,10
2011-01-01 13:00:00,"Delhi",421810,13.5886893991407,2,2011,1,1,13,28.567,77.117,233,11.5,10.5
2011-01-01 14:00:00,"Delhi",421810,13.5886893991407,2,2011,1,1,14,28.567,77.117,233,10,10
2011-01-01 15:00:00,"Delhi",421810,13.5886893991407,2,2011,1,1,15,28.567,77.117,233,9,9
2011-01-01 16:00:00,"Delhi",421810,13.5886893991407,2,2011,1,1,16,28.567,77.117,233,8.5,8.5
2011-01-01 17:00:00,"Delhi",421810,13.5886893991407,2,2011,1,1,17,28.567,77.117,233,9,9
2011-01-01 18:00:00,"Delhi",421810,13.5886893991407,2,2011,1,1,18,28.567,77.117,233,9,9
2011-01-01 19:00:00,"Delhi",421810,13.5886893991407,2,2011,1,1,19,28.567,77.117,233,8,8
2011-01-01 20:00:00,"Delhi",421810,13.5886893991407,2,2011,1,1,20,28.567,77.117,233,8,8
2011-01-01 21:00:00,"Delhi",421810,13.5886893991407,2,2011,1,1,21,28.567,77.117,233,8,8
2011-01-01 22:00:00,"Delhi",421810,13.5886893991407,2,2011,1,1,22,28.567,77.117,233,9,8.5
2011-01-01 23:00:00,"Delhi",421810,13.5886893991407,2,2011,1,1,23,28.567,77.117,233,9,8.5
2011-01-02 00:00:00,"Delhi",421810,13.5886893991407,2,2011,1,2,0,28.567,77.117,233,9,9
2011-01-02 01:00:00,"Delhi",421810,13.5886893991407,2,2011,1,2,1,28.567,77.117,233,9,9
2011-01-02 02:00:00,"Delhi",421810,13.5886893991407,2,2011,1,2,2,28.567,77.117,233,10,8.5
2011-01-02 03:00:00,"Delhi",421810,13.5886893991407,2,2011,1,2,3,28.567,77.117,233,10,8
2011-01-02 04:00:00,"Delhi",421810,13.5886893991407,2,2011,1,2,4,28.567,77.117,233,10.5,8
2011-01-02 05:00:00,"Delhi",421810,13.5886893991407,2,2011,1,2,5,28.567,77.117,233,11,7.5
2011-01-02 06:00:00,"Delhi",421810,13.5886893991407,2,2011,1,2,6,28.567,77.117,233,11,7
2011-01-02 07:00:00,"Delhi",421810,13.5886893991407,2,2011,1,2,7,28.567,77.117,233,12.5,8
2011-01-02 08:00:00,"Delhi",421810,13.5886893991407,2,2011,1,2,8,28.567,77.117,233,13,7.5
2011-01-02 09:00:00,"Delhi",421810,13.5886893991407,2,2011,1,2,9,28.567,77.117,233,12,7
2011-01-02 10:00:00,"Delhi",421810,13.5886893991407,2,2011,1,2,10,28.567,77.117,233,12,7.5
2011-01-02 11:00:00,"Delhi",421810,13.5886893991407,2,2011,1,2,11,28.567,77.117,233,11,8
2011-01-02 12:00:00,"Delhi",421810,13.5886893991407,2,2011,1,2,12,28.567,77.117,233,11,9
2011-01-02 13:00:00,"Delhi",421810,13.5886893991407,2,2011,1,2,13,28.567,77.117,233,11,8
2011-01-02 14:00:00,"Delhi",421810,13.5886893991407,2,2011,1,2,14,28.567,77.117,233,10.5,7.5
2011-01-02 15:00:00,"Delhi",421810,13.5886893991407,2,2011,1,2,15,28.567,77.117,233,10,7
2011-01-02 16:00:00,"Delhi",421810,13.5886893991407,2,2011,1,2,16,28.567,77.117,233,10,6.5
2011-01-02 17:00:00,"Delhi",421810,13.5886893991407,2,2011,1,2,17,28.567,77.117,233,10,6
2011-01-02 18:00:00,"Delhi",421810,13.5886893991407,2,2011,1,2,18,28.567,77.117,233,10,6
2011-01-02 19:00:00,"Delhi",421810,13.5886893991407,2,2011,1,2,19,28.567,77.117,233,10,6
2011-01-02 20:00:00,"Delhi",421810,13.5886893991407,2,2011,1,2,20,28.567,77.117,233,10,6
2011-01-02 21:00:00,"Delhi",421810,13.5886893991407,2,2011,1,2,21,28.567,77.117,233,10,6
2011-01-02 22:00:00,"Delhi",421810,13.5886893991407,2,2011,1,2,22,28.567,77.117,233,10,6
2011-01-02 23:00:00,"Delhi",421810,13.5886893991407,2,2011,1,2,23,28.567,77.117,233,9,6
2011-01-03 00:00:00,"Delhi",421810,13.5886893991407,2,2011,1,3,0,28.567,77.117,233,9,6
2011-01-03 01:00:00,"Delhi",421810,13.5886893991407,2,2011,1,3,1,28.567,77.117,233,9,5.5
2011-01-03 02:00:00,"Delhi",421810,13.5886893991407,2,2011,1,3,2,28.567,77.117,233,9,5
2011-01-03 03:00:00,"Delhi",421810,13.5886893991407,2,2011,1,3,3,28.567,77.117,233,9,5.5
2011-01-03 04:00:00,"Delhi",421810,13.5886893991407,2,2011,1,3,4,28.567,77.117,233,9.5,6
2011-01-03 05:00:00,"Delhi",421810,13.5886893991407,2,2011,1,3,5,28.567,77.117,233,10.5,5.5
2011-01-03 06:00:00,"Delhi",421810,13.5886893991407,2,2011,1,3,6,28.567,77.117,233,11.5,5
