"hours","city","USAFID","distance","rank","YR","M","D","HR","LAT","LONG","ELEV","TEMP","DEW.POINT"
2014-01-01 00:00:00,"Kano",650460,5.41270188704963,1,2014,1,1,0,12.048,8.525,476,NA,NA
2014-01-01 01:00:00,"Kano",650460,5.41270188704963,1,2014,1,1,1,12.048,8.525,476,NA,NA
2014-01-01 02:00:00,"Kano",650460,5.41270188704963,1,2014,1,1,2,12.048,8.525,476,NA,NA
2014-01-01 03:00:00,"Kano",650460,5.41270188704963,1,2014,1,1,3,12.048,8.525,476,NA,NA
2014-01-01 04:00:00,"Kano",650460,5.41270188704963,1,2014,1,1,4,12.048,8.525,476,NA,NA
2014-01-01 05:00:00,"Kano",650460,5.41270188704963,1,2014,1,1,5,12.048,8.525,476,NA,NA
2014-01-01 06:00:00,"Kano",650460,5.41270188704963,1,2014,1,1,6,12.048,8.525,476,NA,NA
2014-01-01 07:00:00,"Kano",650460,5.41270188704963,1,2014,1,1,7,12.048,8.525,476,14,1
2014-01-01 08:00:00,"Kano",650460,5.41270188704963,1,2014,1,1,8,12.048,8.525,476,19,-2
2014-01-01 09:00:00,"Kano",650460,5.41270188704963,1,2014,1,1,9,12.048,8.525,476,21.5,-3.5
2014-01-01 10:00:00,"Kano",650460,5.41270188704963,1,2014,1,1,10,12.048,8.525,476,24,-5
2014-01-01 11:00:00,"Kano",650460,5.41270188704963,1,2014,1,1,11,12.048,8.525,476,26,-6
2014-01-01 12:00:00,"Kano",650460,5.41270188704963,1,2014,1,1,12,12.048,8.525,476,28,-3
2014-01-01 13:00:00,"Kano",650460,5.41270188704963,1,2014,1,1,13,12.048,8.525,476,29,-5
2014-01-01 14:00:00,"Kano",650460,5.41270188704963,1,2014,1,1,14,12.048,8.525,476,29,-5
2014-01-01 15:00:00,"Kano",650460,5.41270188704963,1,2014,1,1,15,12.048,8.525,476,29.9,-4.3
2014-01-01 16:00:00,"Kano",650460,5.41270188704963,1,2014,1,1,16,12.048,8.525,476,29,-3
2014-01-01 17:00:00,"Kano",650460,5.41270188704963,1,2014,1,1,17,12.048,8.525,476,26,1
2014-01-01 18:00:00,"Kano",650460,5.41270188704963,1,2014,1,1,18,12.048,8.525,476,20,3
2014-01-01 19:00:00,"Kano",650460,5.41270188704963,1,2014,1,1,19,12.048,8.525,476,18.9111111111111,3.21111111111111
2014-01-01 20:00:00,"Kano",650460,5.41270188704963,1,2014,1,1,20,12.048,8.525,476,17.8222222222222,3.42222222222222
2014-01-01 21:00:00,"Kano",650460,5.41270188704963,1,2014,1,1,21,12.048,8.525,476,16.7333333333333,3.63333333333333
2014-01-01 22:00:00,"Kano",650460,5.41270188704963,1,2014,1,1,22,12.048,8.525,476,15.6444444444444,3.84444444444444
2014-01-01 23:00:00,"Kano",650460,5.41270188704963,1,2014,1,1,23,12.048,8.525,476,14.5555555555556,4.05555555555556
2014-01-02 00:00:00,"Kano",650460,5.41270188704963,1,2014,1,2,0,12.048,8.525,476,13.4666666666667,4.26666666666667
2014-01-02 01:00:00,"Kano",650460,5.41270188704963,1,2014,1,2,1,12.048,8.525,476,12.3777777777778,4.47777777777778
2014-01-02 02:00:00,"Kano",650460,5.41270188704963,1,2014,1,2,2,12.048,8.525,476,11.2888888888889,4.68888888888889
2014-01-02 03:00:00,"Kano",650460,5.41270188704963,1,2014,1,2,3,12.048,8.525,476,10.2,4.9
2014-01-02 04:00:00,"Kano",650460,5.41270188704963,1,2014,1,2,4,12.048,8.525,476,9.63333333333333,4.5
2014-01-02 05:00:00,"Kano",650460,5.41270188704963,1,2014,1,2,5,12.048,8.525,476,9.06666666666667,4.1
2014-01-02 06:00:00,"Kano",650460,5.41270188704963,1,2014,1,2,6,12.048,8.525,476,8.5,3.7
2014-01-02 07:00:00,"Kano",650460,5.41270188704963,1,2014,1,2,7,12.048,8.525,476,12.875,2.025
2014-01-02 08:00:00,"Kano",650460,5.41270188704963,1,2014,1,2,8,12.048,8.525,476,17.25,0.35
2014-01-02 09:00:00,"Kano",650460,5.41270188704963,1,2014,1,2,9,12.048,8.525,476,21.625,-1.325
2014-01-02 10:00:00,"Kano",650460,5.41270188704963,1,2014,1,2,10,12.048,8.525,476,26,-3
2014-01-02 11:00:00,"Kano",650460,5.41270188704963,1,2014,1,2,11,12.048,8.525,476,28,-3
2014-01-02 12:00:00,"Kano",650460,5.41270188704963,1,2014,1,2,12,12.048,8.525,476,28.2,-3.3
2014-01-02 13:00:00,"Kano",650460,5.41270188704963,1,2014,1,2,13,12.048,8.525,476,31.1,-3.3
2014-01-02 14:00:00,"Kano",650460,5.41270188704963,1,2014,1,2,14,12.048,8.525,476,34,-3.3
