"hours","city","USAFID","distance","rank","YR","M","D","HR","LAT","LONG","ELEV","TEMP","DEW.POINT"
2013-01-01 00:00:00,"Kupang",973720,8.06621806808668,2,2013,1,1,0,-10.167,123.667,108,27,23.8
2013-01-01 01:00:00,"Kupang",973720,8.06621806808668,2,2013,1,1,1,-10.167,123.667,108,28.6666666666667,24.3
2013-01-01 02:00:00,"Kupang",973720,8.06621806808668,2,2013,1,1,2,-10.167,123.667,108,30.3333333333333,24.8
2013-01-01 03:00:00,"Kupang",973720,8.06621806808668,2,2013,1,1,3,-10.167,123.667,108,32,25.3
2013-01-01 04:00:00,"Kupang",973720,8.06621806808668,2,2013,1,1,4,-10.167,123.667,108,31.1666666666667,25.3
2013-01-01 05:00:00,"Kupang",973720,8.06621806808668,2,2013,1,1,5,-10.167,123.667,108,30.3333333333333,25.3
2013-01-01 06:00:00,"Kupang",973720,8.06621806808668,2,2013,1,1,6,-10.167,123.667,108,29.5,25.3
2013-01-01 07:00:00,"Kupang",973720,8.06621806808668,2,2013,1,1,7,-10.167,123.667,108,29.1,24.7666666666667
2013-01-01 08:00:00,"Kupang",973720,8.06621806808668,2,2013,1,1,8,-10.167,123.667,108,28.7,24.2333333333333
2013-01-01 09:00:00,"Kupang",973720,8.06621806808668,2,2013,1,1,9,-10.167,123.667,108,28.3,23.7
2013-01-01 10:00:00,"Kupang",973720,8.06621806808668,2,2013,1,1,10,-10.167,123.667,108,27.8,24.2666666666667
2013-01-01 11:00:00,"Kupang",973720,8.06621806808668,2,2013,1,1,11,-10.167,123.667,108,27.3,24.8333333333333
2013-01-01 12:00:00,"Kupang",973720,8.06621806808668,2,2013,1,1,12,-10.167,123.667,108,26.8,25.4
2013-01-01 13:00:00,"Kupang",973720,8.06621806808668,2,2013,1,1,13,-10.167,123.667,108,26.2,25.0666666666667
2013-01-01 14:00:00,"Kupang",973720,8.06621806808668,2,2013,1,1,14,-10.167,123.667,108,25.6,24.7333333333333
2013-01-01 15:00:00,"Kupang",973720,8.06621806808668,2,2013,1,1,15,-10.167,123.667,108,25,24.4
