"hours","city","USAFID","distance","rank","YR","M","D","HR","LAT","LONG","ELEV","TEMP","DEW.POINT"
2010-01-01 00:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,1,0,-1.317,36.817,1679,18,16.5
2010-01-01 01:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,1,1,-1.317,36.817,1679,18.6083333333333,16.275
2010-01-01 02:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,1,2,-1.317,36.817,1679,19.2166666666667,16.05
2010-01-01 03:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,1,3,-1.317,36.817,1679,19.825,15.825
2010-01-01 04:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,1,4,-1.317,36.817,1679,20.4333333333333,15.6
2010-01-01 05:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,1,5,-1.317,36.817,1679,21.0416666666667,15.375
2010-01-01 06:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,1,6,-1.317,36.817,1679,21.65,15.15
2010-01-01 07:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,1,7,-1.317,36.817,1679,22.2583333333333,14.925
2010-01-01 08:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,1,8,-1.317,36.817,1679,22.8666666666667,14.7
2010-01-01 09:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,1,9,-1.317,36.817,1679,23.475,14.475
2010-01-01 10:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,1,10,-1.317,36.817,1679,24.0833333333333,14.25
2010-01-01 11:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,1,11,-1.317,36.817,1679,24.6916666666667,14.025
2010-01-01 12:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,1,12,-1.317,36.817,1679,25.3,13.8
2010-01-01 13:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,1,13,-1.317,36.817,1679,24.6333333333333,13.8833333333333
2010-01-01 14:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,1,14,-1.317,36.817,1679,23.9666666666667,13.9666666666667
2010-01-01 15:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,1,15,-1.317,36.817,1679,23.3,14.05
2010-01-01 16:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,1,16,-1.317,36.817,1679,22.6333333333333,14.1333333333333
2010-01-01 17:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,1,17,-1.317,36.817,1679,21.9666666666667,14.2166666666667
2010-01-01 18:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,1,18,-1.317,36.817,1679,21.3,14.3
2010-01-01 19:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,1,19,-1.317,36.817,1679,20.8333333333333,14.4666666666667
2010-01-01 20:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,1,20,-1.317,36.817,1679,20.3666666666667,14.6333333333333
2010-01-01 21:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,1,21,-1.317,36.817,1679,19.9,14.8
2010-01-01 22:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,1,22,-1.317,36.817,1679,19.4333333333333,14.9666666666667
2010-01-01 23:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,1,23,-1.317,36.817,1679,18.9666666666667,15.1333333333333
2010-01-02 00:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,2,0,-1.317,36.817,1679,18.5,15.3
2010-01-02 01:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,2,1,-1.317,36.817,1679,18.6666666666667,15.2
2010-01-02 02:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,2,2,-1.317,36.817,1679,18.8333333333333,15.1
2010-01-02 03:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,2,3,-1.317,36.817,1679,19,15
2010-01-02 04:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,2,4,-1.317,36.817,1679,19.1666666666667,14.9
2010-01-02 05:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,2,5,-1.317,36.817,1679,19.3333333333333,14.8
2010-01-02 06:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,2,6,-1.317,36.817,1679,19.5,14.7
2010-01-02 07:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,2,7,-1.317,36.817,1679,20.1166666666667,14.6
2010-01-02 08:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,2,8,-1.317,36.817,1679,20.7333333333333,14.5
2010-01-02 09:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,2,9,-1.317,36.817,1679,21.35,14.4
2010-01-02 10:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,2,10,-1.317,36.817,1679,21.9666666666667,14.3
2010-01-02 11:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,2,11,-1.317,36.817,1679,22.5833333333333,14.2
2010-01-02 12:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,2,12,-1.317,36.817,1679,23.2,14.1
2010-01-02 13:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,2,13,-1.317,36.817,1679,22.4666666666667,14.0666666666667
2010-01-02 14:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,2,14,-1.317,36.817,1679,21.7333333333333,14.0333333333333
2010-01-02 15:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,2,15,-1.317,36.817,1679,21,14
2010-01-02 16:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,2,16,-1.317,36.817,1679,19,16
2010-01-02 17:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,2,17,-1.317,36.817,1679,18,17
2010-01-02 18:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,2,18,-1.317,36.817,1679,16.5,16.2
2010-01-02 19:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,2,19,-1.317,36.817,1679,16.4666666666667,16.05
2010-01-02 20:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,2,20,-1.317,36.817,1679,16.4333333333333,15.9
2010-01-02 21:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,2,21,-1.317,36.817,1679,16.4,15.75
2010-01-02 22:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,2,22,-1.317,36.817,1679,16.3666666666667,15.6
2010-01-02 23:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,2,23,-1.317,36.817,1679,16.3333333333333,15.45
2010-01-03 00:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,3,0,-1.317,36.817,1679,16.3,15.3
2010-01-03 01:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,3,1,-1.317,36.817,1679,16.475,15.475
2010-01-03 02:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,3,2,-1.317,36.817,1679,16.65,15.65
2010-01-03 03:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,3,3,-1.317,36.817,1679,16.825,15.825
2010-01-03 04:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,3,4,-1.317,36.817,1679,17,16
2010-01-03 05:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,3,5,-1.317,36.817,1679,18,16
2010-01-03 06:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,3,6,-1.317,36.817,1679,19.1,16.3
2010-01-03 07:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,3,7,-1.317,36.817,1679,21,16
2010-01-03 08:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,3,8,-1.317,36.817,1679,21,15
2010-01-03 09:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,3,9,-1.317,36.817,1679,22.5,15.5
2010-01-03 10:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,3,10,-1.317,36.817,1679,24,16
2010-01-03 11:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,3,11,-1.317,36.817,1679,24,16
2010-01-03 12:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,3,12,-1.317,36.817,1679,23.7,14.7
2010-01-03 13:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,3,13,-1.317,36.817,1679,22,17
2010-01-03 14:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,3,14,-1.317,36.817,1679,21,16
2010-01-03 15:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,3,15,-1.317,36.817,1679,19,16
2010-01-03 16:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,3,16,-1.317,36.817,1679,17,16
2010-01-03 17:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,3,17,-1.317,36.817,1679,17.15,16.05
2010-01-03 18:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,3,18,-1.317,36.817,1679,17.3,16.1
2010-01-03 19:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,3,19,-1.317,36.817,1679,17.2666666666667,16.15
2010-01-03 20:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,3,20,-1.317,36.817,1679,17.2333333333333,16.2
2010-01-03 21:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,3,21,-1.317,36.817,1679,17.2,16.25
2010-01-03 22:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,3,22,-1.317,36.817,1679,17.1666666666667,16.3
2010-01-03 23:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,3,23,-1.317,36.817,1679,17.1333333333333,16.35
2010-01-04 00:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,4,0,-1.317,36.817,1679,17.1,16.4
2010-01-04 01:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,4,1,-1.317,36.817,1679,17.075,16.55
2010-01-04 02:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,4,2,-1.317,36.817,1679,17.05,16.7
2010-01-04 03:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,4,3,-1.317,36.817,1679,17.025,16.85
2010-01-04 04:00:00,"Nairobi",637420,3.41625431774542,1,2010,1,4,4,-1.317,36.817,1679,17,17
