"city","YR","M","D","HR","MW"
"Amman",2011,1,1,1,804.6
"Amman",2011,1,2,1,814.32
"Amman",2011,1,3,1,794.88
"Amman",2011,1,4,1,797.58
"Amman",2011,1,5,1,832.68
"Amman",2011,1,6,1,818.64
"Amman",2011,1,7,1,843.48
"Amman",2011,1,8,1,818.1
"Amman",2011,1,9,1,818.1
"Amman",2011,1,10,1,837
"Amman",2011,1,11,1,846.72
"Amman",2011,1,12,1,821.34
"Amman",2011,1,13,1,808.38
"Amman",2011,1,14,1,817.02
"Amman",2011,1,15,1,803.52
"Amman",2011,1,16,1,799.2
"Amman",2011,1,17,1,834.3
"Amman",2011,1,18,1,829.44
"Amman",2011,1,19,1,804.6
"Amman",2011,1,20,1,805.14
"Amman",2011,1,21,1,818.1
"Amman",2011,1,22,1,781.38
"Amman",2011,1,23,1,771.66
"Amman",2011,1,24,1,799.2
"Amman",2011,1,25,1,804.6
"Amman",2011,1,26,1,779.22
"Amman",2011,1,27,1,801.36
"Amman",2011,1,28,1,808.92
"Amman",2011,1,29,1,761.4
"Amman",2011,1,30,1,774.36
"Amman",2011,1,31,1,775.44
"Amman",2011,2,1,1,736.7
"Amman",2011,2,2,1,792.35
"Amman",2011,2,3,1,776.45
"Amman",2011,2,4,1,800.83
"Amman",2011,2,5,1,803.48
"Amman",2011,2,6,1,781.75
"Amman",2011,2,7,1,791.29
"Amman",2011,2,8,1,770.62
"Amman",2011,2,9,1,781.75
"Amman",2011,2,10,1,784.93
"Amman",2011,2,11,1,804.54
"Amman",2011,2,12,1,816.2
"Amman",2011,2,13,1,787.58
"Amman",2011,2,14,1,776.98
"Amman",2011,2,15,1,815.14
"Amman",2011,2,16,1,766.91
"Amman",2011,2,17,1,761.08
"Amman",2011,2,18,1,820.44
"Amman",2011,2,19,1,758.43
"Amman",2011,2,20,1,722.92
"Amman",2011,2,21,1,751.01
"Amman",2011,2,22,1,782.28
"Amman",2011,2,23,1,776.45
"Amman",2011,2,24,1,762.14
"Amman",2011,2,25,1,736.17
"Amman",2011,2,26,1,721.33
"Amman",2011,2,27,1,772.74
"Amman",2011,2,28,1,764.26
"Amman",2011,3,1,1,706
"Amman",2011,3,2,1,704.5
"Amman",2011,3,3,1,701
"Amman",2011,3,4,1,675
"Amman",2011,3,5,1,660.5
"Amman",2011,3,6,1,678.5
"Amman",2011,3,7,1,675.5
"Amman",2011,3,8,1,675
"Amman",2011,3,9,1,686
"Amman",2011,3,10,1,708.5
"Amman",2011,3,11,1,740.5
"Amman",2011,3,12,1,714
"Amman",2011,3,13,1,709.5
"Amman",2011,3,14,1,703.5
"Amman",2011,3,15,1,695
"Amman",2011,3,16,1,714.5
"Amman",2011,3,17,1,697.5
"Amman",2011,3,18,1,708
"Amman",2011,3,19,1,646
"Amman",2011,3,20,1,671
"Amman",2011,3,21,1,659.5
"Amman",2011,3,22,1,654
"Amman",2011,3,23,1,654
"Amman",2011,3,24,1,726
"Amman",2011,3,25,1,699.5
"Amman",2011,3,26,1,689
"Amman",2011,3,27,1,715
"Amman",2011,3,28,1,691
"Amman",2011,3,29,1,688
"Amman",2011,3,30,1,694.5
"Amman",2011,3,31,1,676
"Amman",2011,4,1,1,708.96
"Amman",2011,4,2,1,660.96
"Amman",2011,4,3,1,687.84
"Amman",2011,4,4,1,672.48
"Amman",2011,4,5,1,679.68
"Amman",2011,4,6,1,687.84
"Amman",2011,4,7,1,713.28
"Amman",2011,4,8,1,692.16
"Amman",2011,4,9,1,685.44
"Amman",2011,4,10,1,705.6
"Amman",2011,4,11,1,678.24
"Amman",2011,4,12,1,684.48
"Amman",2011,4,13,1,697.92
"Amman",2011,4,14,1,701.76
"Amman",2011,4,15,1,684.96
"Amman",2011,4,16,1,643.68
"Amman",2011,4,17,1,690.24
"Amman",2011,4,18,1,658.08
"Amman",2011,4,19,1,686.88
"Amman",2011,4,20,1,678.72
"Amman",2011,4,21,1,691.2
"Amman",2011,4,22,1,694.56
