Timestamp,Demand (MW)
1/1/11 0:00,34941
1/1/11 0:30,34941
1/1/11 1:00,34900
1/1/11 1:30,34900
1/1/11 2:00,33607
1/1/11 2:30,33607
1/1/11 3:00,32207
1/1/11 3:30,32207
1/1/11 4:00,31695
1/1/11 4:30,31695
1/1/11 5:00,31191
1/1/11 5:30,31191
1/1/11 6:00,31114
1/1/11 6:30,31114
1/1/11 7:00,29997
1/1/11 7:30,29997
1/1/11 8:00,31268
1/1/11 8:30,31268
1/1/11 9:00,32880
1/1/11 9:30,32880
1/1/11 10:00,33688
1/1/11 10:30,33688
1/1/11 11:00,35091
1/1/11 11:30,35290
1/1/11 12:00,34590
1/1/11 12:30,34497
1/1/11 13:00,34798
1/1/11 13:30,35103
1/1/11 14:00,34709
1/1/11 14:30,34908
1/1/11 15:00,34901
1/1/11 15:30,34901
1/1/11 16:00,34007
1/1/11 16:30,34007
1/1/11 17:00,33701
1/1/11 17:30,33701
1/1/11 18:00,38964
1/1/11 18:30,40688
1/1/11 19:00,40685
1/1/11 19:30,40689
1/1/11 20:00,40300
1/1/11 20:30,39977
1/1/11 21:00,38878
1/1/11 21:30,38878
1/1/11 22:00,38168
1/1/11 22:30,38168
1/1/11 23:00,35636
1/1/11 23:30,35636
1/2/11 0:00,35636
1/2/11 0:30,35636
1/2/11 1:00,32903
1/2/11 1:30,32903
1/2/11 2:00,31900
1/2/11 2:30,31900
1/2/11 3:00,30891
1/2/11 3:30,30891
1/2/11 4:00,30694
1/2/11 4:30,30694
1/2/11 5:00,31690
1/2/11 5:30,31690
1/2/11 6:00,31315
1/2/11 6:30,31315
1/2/11 7:00,30397
1/2/11 7:30,30397
1/2/11 8:00,32319
1/2/11 8:30,32319
1/2/11 9:00,33426
1/2/11 9:30,33426
1/2/11 10:00,33598
1/2/11 10:30,33598
1/2/11 11:00,33989
1/2/11 11:30,33395
1/2/11 12:00,34396
1/2/11 12:30,34899
1/2/11 13:00,34710
1/2/11 13:30,34512
1/2/11 14:00,34498
1/2/11 14:30,34887
1/2/11 15:00,34892
1/2/11 15:30,34892
1/2/11 16:00,34596
1/2/11 16:30,34596
1/2/11 17:00,34904
1/2/11 17:30,34904
1/2/11 18:00,39636
1/2/11 18:30,41696
1/2/11 19:00,41082
1/2/11 19:30,40987
1/2/11 20:00,40979
1/2/11 20:30,39781
1/2/11 21:00,39478
1/2/11 21:30,39478
1/2/11 22:00,37480
1/2/11 22:30,37480
1/2/11 23:00,36245
1/2/11 23:30,36245
1/3/11 0:00,36245
1/3/11 0:30,33102
1/3/11 1:00,33102
1/3/11 1:30,33102
1/3/11 2:00,31997
1/3/11 2:30,31997
1/3/11 3:00,31205
1/3/11 3:30,31205
1/3/11 4:00,31390
