"city","YR","M","D","HR","MIN","MW"
"Beirut",2011,1,1,1,0,353.716
"Beirut",2011,1,1,2,0,332.3056
"Beirut",2011,1,1,3,0,305.0608
"Beirut",2011,1,1,4,0,292.5472
"Beirut",2011,1,1,5,0,266.6224
"Beirut",2011,1,1,6,0,285.8416
"Beirut",2011,1,1,7,0,284.0024
"Beirut",2011,1,1,8,0,296.0936
"Beirut",2011,1,1,9,0,236.43
"Beirut",2011,1,1,10,0,261
"Beirut",2011,1,1,11,0,283.5
"Beirut",2011,1,1,12,0,294.75
"Beirut",2011,1,1,13,0,293.55
"Beirut",2011,1,1,14,0,291
"Beirut",2011,1,1,15,0,286.266
"Beirut",2011,1,1,16,0,286.05
"Beirut",2011,1,1,17,0,297
"Beirut",2011,1,1,18,0,312.3
"Beirut",2011,1,1,19,0,318.816
"Beirut",2011,1,1,20,0,318.6
"Beirut",2011,1,1,21,0,314.382
"Beirut",2011,1,1,22,0,305.13
"Beirut",2011,1,1,23,0,291.684
"Beirut",2011,1,2,0,0,276
"Beirut",2011,1,2,1,0,331.1176
"Beirut",2011,1,2,2,0,302.5704
"Beirut",2011,1,2,3,0,288.42
"Beirut",2011,1,2,4,0,282.26
"Beirut",2011,1,2,5,0,278.7048
"Beirut",2011,1,2,6,0,279.972
"Beirut",2011,1,2,7,0,295.8384
"Beirut",2011,1,2,8,0,313.4736
"Beirut",2011,1,2,9,0,294.366
"Beirut",2011,1,2,10,0,310.8
"Beirut",2011,1,2,11,0,315
"Beirut",2011,1,2,12,0,313.35
"Beirut",2011,1,2,13,0,308.1
"Beirut",2011,1,2,14,0,306.75
"Beirut",2011,1,2,15,0,306.75
"Beirut",2011,1,2,16,0,312
"Beirut",2011,1,2,17,0,318.264
"Beirut",2011,1,2,18,0,326.55
"Beirut",2011,1,2,19,0,330.45
"Beirut",2011,1,2,20,0,327.75
"Beirut",2011,1,2,21,0,321.3
"Beirut",2011,1,2,22,0,310.8
"Beirut",2011,1,2,23,0,292.5
"Beirut",2011,1,3,0,0,270.204
"Beirut",2011,1,3,1,0,331.1704
"Beirut",2011,1,3,2,0,296.5952
"Beirut",2011,1,3,3,0,283.5448
"Beirut",2011,1,3,4,0,278.0536
"Beirut",2011,1,3,5,0,277.2088
"Beirut",2011,1,3,6,0,302.5528
"Beirut",2011,1,3,7,0,365.7104
"Beirut",2011,1,3,8,0,383.46
"Beirut",2011,1,3,9,0,298.638
"Beirut",2011,1,3,10,0,313.65
"Beirut",2011,1,3,11,0,319.05
"Beirut",2011,1,3,12,0,320.4
"Beirut",2011,1,3,13,0,318
"Beirut",2011,1,3,14,0,312.84
"Beirut",2011,1,3,15,0,310.95
"Beirut",2011,1,3,16,0,316.35
"Beirut",2011,1,3,17,0,327.3
"Beirut",2011,1,3,18,0,336
"Beirut",2011,1,3,19,0,330
"Beirut",2011,1,3,20,0,325.95
"Beirut",2011,1,3,21,0,321.75
"Beirut",2011,1,3,22,0,315
"Beirut",2011,1,3,23,0,303.948
"Beirut",2011,1,4,0,0,283.65
"Beirut",2011,1,4,1,0,348.5856
"Beirut",2011,1,4,2,0,333.9248
"Beirut",2011,1,4,3,0,307.8768
"Beirut",2011,1,4,4,0,300.9072
"Beirut",2011,1,4,5,0,298.5576
"Beirut",2011,1,4,6,0,315.6648
"Beirut",2011,1,4,7,0,368.6408
"Beirut",2011,1,4,8,0,409.2
"Beirut",2011,1,4,9,0,310.65
"Beirut",2011,1,4,10,0,326.55
"Beirut",2011,1,4,11,0,333
"Beirut",2011,1,4,12,0,333
"Beirut",2011,1,4,13,0,324
"Beirut",2011,1,4,14,0,316.5
"Beirut",2011,1,4,15,0,313.5
"Beirut",2011,1,4,16,0,316.5
"Beirut",2011,1,4,17,0,330.75
"Beirut",2011,1,4,18,0,339.45
"Beirut",2011,1,4,19,0,335.1
"Beirut",2011,1,4,20,0,330.75
"Beirut",2011,1,4,21,0,323.124
"Beirut",2011,1,4,22,0,317.85
"Beirut",2011,1,4,23,0,306.156
"Beirut",2011,1,5,0,0,284.454
"Beirut",2011,1,5,1,0,345.84
"Beirut",2011,1,5,2,0,322.5728
"Beirut",2011,1,5,3,0,302.1304
"Beirut",2011,1,5,4,0,293.0224
"Beirut",2011,1,5,5,0,297.22
"Beirut",2011,1,5,6,0,311.3
"Beirut",2011,1,5,7,0,350.24
"Beirut",2011,1,5,8,0,393.58
"Beirut",2011,1,5,9,0,298.638
"Beirut",2011,1,5,10,0,313.65
"Beirut",2011,1,5,11,0,319.05
"Beirut",2011,1,5,12,0,320.4
"Beirut",2011,1,5,13,0,318
"Beirut",2011,1,5,14,0,312.84
"Beirut",2011,1,5,15,0,310.95
