"","Time","Delhi.Generation","Schedule.from.Grid","Drawl.from.Grid","Demand.met","OD.UD","Frequency","Date.Time","Date","year","month","day","time"
"1",2012-04-01 00:00:21,1025.85,1701.52,1281.18,2307.03,-420.34,49.924,2012-04-01 00:00:21,2012-04-01,"2012","04","01",00:00:00
"2",2012-04-01 00:30:48,1017.04,1337.45,1209.91,2226.95,-127.54,49.954,2012-04-01 00:30:48,2012-04-01,"2012","04","01",00:31:00
"3",2012-04-01 01:30:20,1018.88,1030.59,1048.71,2067.59,18.12,49.856,2012-04-01 01:30:20,2012-04-01,"2012","04","01",01:30:00
"4",2012-04-01 02:00:21,928.73,1074.4,1083.15,2011.88,8.75,49.846,2012-04-01 02:00:21,2012-04-01,"2012","04","01",02:00:00
"5",2012-04-01 02:30:20,922.55,1373.97,1070.54,1993.09,-303.43,49.988,2012-04-01 02:30:20,2012-04-01,"2012","04","01",02:30:00
"6",2012-04-01 03:00:21,950.54,1373.97,1040.79,1991.33,-333.18,50.022,2012-04-01 03:00:21,2012-04-01,"2012","04","01",03:00:00
"7",2012-04-01 03:30:20,915.41,1022.69,1027.76,1943.17,5.07,50.105,2012-04-01 03:30:20,2012-04-01,"2012","04","01",03:30:00
"8",2012-04-01 04:00:21,925.85,1025.13,1027.92,1953.77,2.79,50.169,2012-04-01 04:00:21,2012-04-01,"2012","04","01",04:00:00
"9",2012-04-01 04:30:20,923.22,1031.03,1062.83,1986.05,31.8,50.076,2012-04-01 04:30:20,2012-04-01,"2012","04","01",04:30:00
"10",2012-04-01 05:00:21,921.71,1031.03,1120.01,2041.72,88.98,50.046,2012-04-01 05:00:21,2012-04-01,"2012","04","01",05:00:00
"11",2012-04-01 05:30:20,922.57,1031.03,1221.45,2144.02,190.42,49.993,2012-04-01 05:30:20,2012-04-01,"2012","04","01",05:30:00
"12",2012-04-01 06:00:21,989.05,1031.03,1270.3,2259.35,239.27,50.027,2012-04-01 06:00:21,2012-04-01,"2012","04","01",06:00:00
"13",2012-04-01 06:30:20,956.93,1031.03,1420.72,2377.65,389.69,50.154,2012-04-01 06:30:20,2012-04-01,"2012","04","01",06:30:00
"14",2012-04-01 07:00:21,991.04,1031.03,1496.86,2487.9,465.83,50.115,2012-04-01 07:00:21,2012-04-01,"2012","04","01",07:00:00
"15",2012-04-01 07:30:20,960.52,1643.58,1547.2,2507.72,-96.38,50.266,2012-04-01 07:30:20,2012-04-01,"2012","04","01",07:30:00
"16",2012-04-01 08:00:21,955.32,1643.79,1560.1,2515.42,-83.69,50.125,2012-04-01 08:00:21,2012-04-01,"2012","04","01",08:00:00
"17",2012-04-01 08:30:20,966.98,1706.89,1545.44,2512.42,-161.45,50.129,2012-04-01 08:30:20,2012-04-01,"2012","04","01",08:30:00
"18",2012-04-01 09:00:21,946.42,1726,1529.23,2475.65,-196.77,50.213,2012-04-01 09:00:21,2012-04-01,"2012","04","01",09:00:00
"19",2012-04-01 09:30:20,955.75,1969.39,1558.09,2513.84,-411.3,50.291,2012-04-01 09:30:20,2012-04-01,"2012","04","01",09:30:00
"20",2012-04-01 10:00:21,938.31,1979.07,1629.61,2567.92,-349.46,50.188,2012-04-01 10:00:21,2012-04-01,"2012","04","01",10:00:00
"21",2012-04-01 10:30:20,934.12,1846.83,1631.93,2566.05,-214.9,49.949,2012-04-01 10:30:20,2012-04-01,"2012","04","01",10:30:00
"22",2012-04-01 11:00:21,939.8,1840.04,1686.02,2625.82,-154.02,50.007,2012-04-01 11:00:21,2012-04-01,"2012","04","01",11:00:00
"23",2012-04-01 11:30:20,950.45,1878.8,1680.65,2631.1,-198.15,49.993,2012-04-01 11:30:20,2012-04-01,"2012","04","01",11:30:00
"24",2012-04-01 12:00:21,943.39,1883.91,1722.63,2666.02,-161.28,50.12,2012-04-01 12:00:21,2012-04-01,"2012","04","01",12:00:00
"25",2012-04-01 12:30:20,952.79,2057.51,1701.2,2653.99,-356.31,50.076,2012-04-01 12:30:20,2012-04-01,"2012","04","01",12:30:00
"26",2012-04-01 13:00:21,1006.49,1994.38,1576.45,2582.94,-417.93,50.129,2012-04-01 13:00:21,2012-04-01,"2012","04","01",13:00:00
"27",2012-04-01 13:30:20,1014.74,2055.62,1461.39,2476.13,-594.23,49.919,2012-04-01 13:30:20,2012-04-01,"2012","04","01",13:30:00
"28",2012-04-01 14:00:21,1007.46,2048.45,1510.73,2518.19,-537.72,49.949,2012-04-01 14:00:21,2012-04-01,"2012","04","01",14:00:00
