city,YR,M,D,HR,MIN,MW
Kano,2014,1,1,22,0,139
Kano,2014,1,2,0,0,152
Kano,2014,1,3,1,0,161
Kano,2014,1,4,15,0,170
Kano,2014,1,5,3,0,160
Kano,2014,1,6,5,0,172
Kano,2014,1,7,8,0,144
Kano,2014,1,8,5,0,152
Kano,2014,1,9,18,0,136
Kano,2014,1,10,0,0,135
Kano,2014,1,11,8,0,135
Kano,2014,1,12,10,0,148
Kano,2014,1,13,9,0,118
Kano,2014,1,14,2,0,128
Kano,2014,1,15,9,0,138
Kano,2014,1,16,17,0,153
Kano,2014,1,17,13,0,132
Kano,2014,1,18,7,0,117
Kano,2014,1,19,8,0,141
Kano,2014,1,20,1,0,120
Kano,2014,1,21,8,0,114
Kano,2014,1,22,11,0,129
Kano,2014,1,23,8,0,137
Kano,2014,1,24,0,0,142
Kano,2014,1,25,5,0,163
Kano,2014,1,26,23,0,146
Kano,2014,1,27,6,0,135
Kano,2014,1,28,1,0,129
Kano,2014,1,29,7,0,127
Kano,2014,1,30,21,0,82
Kano,2014,1,31,11,0,144
Kano,2014,2,1,10,0,327
Kano,2014,2,2,11,0,237
Kano,2014,2,3,4,0,150
Kano,2014,2,4,1,0,134
Kano,2014,2,5,9,0,152
Kano,2014,2,6,11,0,156
Kano,2014,2,7,13,0,162
Kano,2014,2,8,3,0,151
Kano,2014,2,9,9,0,209
Kano,2014,2,10,8,0,196
Kano,2014,2,11,11,0,188
Kano,2014,2,12,1,0,221
Kano,2014,2,13,7,0,200
Kano,2014,2,14,10,0,192
Kano,2014,2,15,0,0,170
Kano,2014,2,16,8,0,187
Kano,2014,2,17,13,0,177
Kano,2014,2,18,11,0,185
Kano,2014,2,19,10,0,182
Kano,2014,2,20,21,0,181
Kano,2014,2,21,15,0,192
Kano,2014,2,22,9,0,173
Kano,2014,2,23,12,0,195
Kano,2014,2,24,11,0,198
Kano,2014,2,25,10,0,213
Kano,2014,2,26,10,0,242
Kano,2014,2,27,1,0,222
Kano,2014,2,28,0,0,210
Kano,2014,4,1,1,0,148
Kano,2014,4,2,15,0,127
Kano,2014,4,3,23,0,110
Kano,2014,4,4,9,0,130
Kano,2014,4,5,21,0,156
Kano,2014,4,6,9,0,123
Kano,2014,4,7,22,0,256
Kano,2014,4,8,21,0,197
Kano,2014,4,9,9,0,174
Kano,2014,4,10,2,0,242
Kano,2014,4,11,5,0,187
Kano,2014,4,12,23,0,217
Kano,2014,4,13,8,0,213
Kano,2014,4,14,0,0,162
Kano,2014,4,15,0,0,190
Kano,2014,4,16,1,0,168
Kano,2014,4,17,4,0,173
Kano,2014,4,18,8,0,207
Kano,2014,4,19,12,0,187
Kano,2014,4,20,14,0,208
Kano,2014,4,21,0,0,242
Kano,2014,4,22,2,0,250
Kano,2014,4,23,7,0,196
Kano,2014,4,24,0,0,216
Kano,2014,4,25,1,0,220
Kano,2014,4,26,1,0,210
Kano,2014,4,27,20,0,189
Kano,2014,4,28,6,0,179
Kano,2014,4,29,3,0,132
Kano,2014,4,30,21,0,180
Kano,2014,5,1,10,0,194
Kano,2014,5,2,12,0,147
Kano,2014,5,3,23,0,210
Kano,2014,5,4,20,0,240
Kano,2014,5,5,7,0,190
Kano,2014,5,6,19,0,186
Kano,2014,5,7,22,0,232
Kano,2014,5,8,20,0,218
Kano,2014,5,9,2,0,206
Kano,2014,5,10,24,0,214
Kano,2014,5,11,9,0,221
Kano,2014,5,12,24,0,216
Kano,2014,5,13,3,0,227
Kano,2014,5,14,21,0,234
Kano,2014,5,15,8,0,207
Kano,2014,5,16,24,0,204
Kano,2014,5,17,14,0,229
Kano,2014,5,18,7,0,192
Kano,2014,5,19,0,0,202
Kano,2014,5,20,20,0,230
Kano,2014,5,21,13,0,207
Kano,2014,5,22,21,0,208
Kano,2014,5,23,12,0,194
Kano,2014,5,24,14,0,198
Kano,2014,5,25,10,0,214
Kano,2014,5,26,0,0,215
Kano,2014,5,27,1,0,253
Kano,2014,5,28,24,0,208
Kano,2014,5,29,13,0,203
Kano,2014,5,30,8,0,195
Kano,2014,5,31,5,0,214
Kano,2014,6,1,23,0,265
Kano,2014,6,2,1,0,229
Kano,2014,6,3,11,0,182
Kano,2014,6,4,7,0,155
Kano,2014,6,5,12,0,186
Kano,2014,6,6,12,0,215
Kano,2014,6,7,5,0,195
Kano,2014,6,8,10,0,247
Kano,2014,6,9,1,0,202
Kano,2014,6,10,23,0,201
Kano,2014,6,11,6,0,176
Kano,2014,6,12,16,0,164
Kano,2014,6,13,1,0,144
Kano,2014,6,14,12,0,163
Kano,2014,6,15,0,0,154
Kano,2014,6,16,8,0,151
Kano,2014,6,17,2,0,142
Kano,2014,6,18,17,0,117
Kano,2014,6,19,8,0,125
Kano,2014,6,20,23,0,88
Kano,2014,6,21,15,0,168
Kano,2014,6,22,18,0,171
Kano,2014,6,23,21,0,169
Kano,2014,6,24,20,0,191
