"city","YR","M","D","HR","MW"
"Manila",2010,12,26,1,3650
"Manila",2010,12,26,2,3696
"Manila",2010,12,26,3,3614
"Manila",2010,12,26,4,3561
"Manila",2010,12,26,5,3584
"Manila",2010,12,26,6,3636
"Manila",2010,12,26,7,3648
"Manila",2010,12,26,8,3507
"Manila",2010,12,26,9,3977
"Manila",2010,12,26,10,4333
"Manila",2010,12,26,11,4480
"Manila",2010,12,26,12,4448
"Manila",2010,12,26,13,4368
"Manila",2010,12,26,14,4379
"Manila",2010,12,26,15,4315
"Manila",2010,12,26,16,4251
"Manila",2010,12,26,17,4355
"Manila",2010,12,26,18,4896
"Manila",2010,12,26,19,5108
"Manila",2010,12,26,20,5033
"Manila",2010,12,26,21,4784
"Manila",2010,12,26,22,4485
"Manila",2010,12,26,23,4320
"Manila",2010,12,26,24,4030
"Manila",2010,12,27,1,3812
"Manila",2010,12,27,2,3661
"Manila",2010,12,27,3,3750
"Manila",2010,12,27,4,3705
"Manila",2010,12,27,5,3684
"Manila",2010,12,27,6,3820
"Manila",2010,12,27,7,3650
"Manila",2010,12,27,8,3900
"Manila",2010,12,27,9,4428
"Manila",2010,12,27,10,4830
"Manila",2010,12,27,11,5118
"Manila",2010,12,27,12,5092
"Manila",2010,12,27,13,5076
"Manila",2010,12,27,14,5142
"Manila",2010,12,27,15,5025
"Manila",2010,12,27,16,4964
"Manila",2010,12,27,17,4927
"Manila",2010,12,27,18,5480
"Manila",2010,12,27,19,5642
"Manila",2010,12,27,20,5508
"Manila",2010,12,27,21,5339
"Manila",2010,12,27,22,4887
"Manila",2010,12,27,23,4633
"Manila",2010,12,27,24,4292
"Manila",2010,12,28,1,4013
"Manila",2010,12,28,2,3965
"Manila",2010,12,28,3,4012
"Manila",2010,12,28,4,3944
"Manila",2010,12,28,5,4039
"Manila",2010,12,28,6,4179
"Manila",2010,12,28,7,4103
"Manila",2010,12,28,8,4480
"Manila",2010,12,28,9,5058
"Manila",2010,12,28,10,5527
"Manila",2010,12,28,11,5812
"Manila",2010,12,28,12,5721
"Manila",2010,12,28,13,5671
"Manila",2010,12,28,14,5783
"Manila",2010,12,28,15,5671
"Manila",2010,12,28,16,5641
"Manila",2010,12,28,17,5462
"Manila",2010,12,28,18,5930
"Manila",2010,12,28,19,5964
"Manila",2010,12,28,20,5784
"Manila",2010,12,28,21,5602
"Manila",2010,12,28,22,5244
"Manila",2010,12,28,23,4937
"Manila",2010,12,28,24,4642
"Manila",2010,12,29,1,4501
"Manila",2010,12,29,2,4379
"Manila",2010,12,29,3,4223
"Manila",2010,12,29,4,4182
"Manila",2010,12,29,5,4202
"Manila",2010,12,29,6,4387
"Manila",2010,12,29,7,4406
"Manila",2010,12,29,8,4566
"Manila",2010,12,29,9,5120
"Manila",2010,12,29,10,5596
"Manila",2010,12,29,11,5729
"Manila",2010,12,29,12,5655
"Manila",2010,12,29,13,5513
"Manila",2010,12,29,14,5574
"Manila",2010,12,29,15,5478
"Manila",2010,12,29,16,5406
"Manila",2010,12,29,17,5318
"Manila",2010,12,29,18,5819
"Manila",2010,12,29,19,5818
"Manila",2010,12,29,20,5729
"Manila",2010,12,29,21,5498
"Manila",2010,12,29,22,5134
"Manila",2010,12,29,23,4690
"Manila",2010,12,29,24,4320
"Manila",2010,12,30,1,4083
"Manila",2010,12,30,2,3959
"Manila",2010,12,30,3,3817
"Manila",2010,12,30,4,3748
"Manila",2010,12,30,5,3794
"Manila",2010,12,30,6,3928
"Manila",2010,12,30,7,3935
"Manila",2010,12,30,8,4329
"Manila",2010,12,30,9,4902
"Manila",2010,12,30,10,5260
"Manila",2010,12,30,11,5444
"Manila",2010,12,30,12,5303
"Manila",2010,12,30,13,5232
"Manila",2010,12,30,14,5201
"Manila",2010,12,30,15,5055
"Manila",2010,12,30,16,4989
"Manila",2010,12,30,17,4958
"Manila",2010,12,30,18,5419
"Manila",2010,12,30,19,5471
"Manila",2010,12,30,20,5346
"Manila",2010,12,30,21,5193
"Manila",2010,12,30,22,4800
"Manila",2010,12,30,23,4425
"Manila",2010,12,30,24,4171
"Manila",2010,12,31,1,4186
"Manila",2010,12,31,2,4031
"Manila",2010,12,31,3,3861
"Manila",2010,12,31,4,3789
"Manila",2010,12,31,5,3783
"Manila",2010,12,31,6,3825
"Manila",2010,12,31,7,3758
"Manila",2010,12,31,8,3943
"Manila",2010,12,31,9,4096
"Manila",2010,12,31,10,4179
"Manila",2010,12,31,11,4327
"Manila",2010,12,31,12,4336
"Manila",2010,12,31,13,4329
"Manila",2010,12,31,14,4292
"Manila",2010,12,31,15,4164
"Manila",2010,12,31,16,4115
"Manila",2010,12,31,17,4141
"Manila",2010,12,31,18,4743
"Manila",2010,12,31,19,4903
"Manila",2010,12,31,20,4703
"Manila",2010,12,31,21,4545
"Manila",2010,12,31,22,4397
"Manila",2010,12,31,23,4222
"Manila",2010,12,31,24,4374
"Manila",2011,1,1,1,4348
"Manila",2011,1,1,2,3959
"Manila",2011,1,1,3,3666
"Manila",2011,1,1,4,3512
"Manila",2011,1,1,5,3464
"Manila",2011,1,1,6,3423
"Manila",2011,1,1,7,3269
"Manila",2011,1,1,8,3304
"Manila",2011,1,1,9,3388
"Manila",2011,1,1,10,3244
"Manila",2011,1,1,11,3436
"Manila",2011,1,1,12,3590
"Manila",2011,1,1,13,3661
"Manila",2011,1,1,14,3629
"Manila",2011,1,1,15,3539
"Manila",2011,1,1,16,3465
"Manila",2011,1,1,17,3500
"Manila",2011,1,1,18,4231
"Manila",2011,1,1,19,4414
"Manila",2011,1,1,20,4349
"Manila",2011,1,1,21,4172
"Manila",2011,1,1,22,3909
"Manila",2011,1,1,23,3771
"Manila",2011,1,1,24,3716
"Manila",2011,1,2,1,3526
"Manila",2011,1,2,2,3409
"Manila",2011,1,2,3,3357
"Manila",2011,1,2,4,3308
"Manila",2011,1,2,5,3310
"Manila",2011,1,2,6,3378
"Manila",2011,1,2,7,3401
"Manila",2011,1,2,8,3625
"Manila",2011,1,2,9,3814
"Manila",2011,1,2,10,4164
"Manila",2011,1,2,11,4413
"Manila",2011,1,2,12,4425
"Manila",2011,1,2,13,4411
"Manila",2011,1,2,14,4454
"Manila",2011,1,2,15,4357
"Manila",2011,1,2,16,4300
"Manila",2011,1,2,17,4271
"Manila",2011,1,2,18,4846
"Manila",2011,1,2,19,5055
"Manila",2011,1,2,20,4876
"Manila",2011,1,2,21,4643
"Manila",2011,1,2,22,4319
"Manila",2011,1,2,23,3904
"Manila",2011,1,2,24,3855
"Manila",2011,1,3,1,3806
"Manila",2011,1,3,2,3674
"Manila",2011,1,3,3,3610
"Manila",2011,1,3,4,3580
"Manila",2011,1,3,5,3752
"Manila",2011,1,3,6,4024
"Manila",2011,1,3,7,4179
"Manila",2011,1,3,8,4418
"Manila",2011,1,3,9,5118
"Manila",2011,1,3,10,5584
"Manila",2011,1,3,11,5790
"Manila",2011,1,3,12,5711
"Manila",2011,1,3,13,5786
"Manila",2011,1,3,14,5849
"Manila",2011,1,3,15,5732
"Manila",2011,1,3,16,5660
"Manila",2011,1,3,17,5452
"Manila",2011,1,3,18,5802
"Manila",2011,1,3,19,5776
"Manila",2011,1,3,20,5518
"Manila",2011,1,3,21,5261
"Manila",2011,1,3,22,4857
"Manila",2011,1,3,23,4578
"Manila",2011,1,3,24,4406
"Manila",2011,1,4,1,4256
