city,YR,M,D,HR,MIN,MW
New York City,2006,1,1,0,0,5079.6
New York City,2006,1,1,1,0,5164.6
New York City,2006,1,1,2,0,4950
New York City,2006,1,1,3,0,4716.2
New York City,2006,1,1,4,0,4553.5
New York City,2006,1,1,5,0,4445.2
New York City,2006,1,1,6,0,4427
New York City,2006,1,1,7,0,4463.8
New York City,2006,1,1,8,0,4469.6
New York City,2006,1,1,9,0,4574.2
New York City,2006,1,1,10,0,4769.7
New York City,2006,1,1,11,0,4955.9
New York City,2006,1,1,12,0,5115.1
New York City,2006,1,1,13,0,5200
New York City,2006,1,1,14,0,5225.6
New York City,2006,1,1,15,0,5248
New York City,2006,1,1,16,0,5321.3
New York City,2006,1,1,17,0,5533.2
New York City,2006,1,1,18,0,5793.7
New York City,2006,1,1,19,0,5800.5
New York City,2006,1,1,20,0,5750
New York City,2006,1,1,21,0,5643.9
New York City,2006,1,1,22,0,5541.3
New York City,2006,1,1,23,0,5363.4
New York City,2006,1,2,0,0,5116
New York City,2006,1,2,1,0,4767.5
New York City,2006,1,2,2,0,4535.2
New York City,2006,1,2,3,0,4365.9
New York City,2006,1,2,4,0,4273.3
New York City,2006,1,2,5,0,4246.7
New York City,2006,1,2,6,0,4337.3
New York City,2006,1,2,7,0,4523.3
New York City,2006,1,2,8,0,4668.2
New York City,2006,1,2,9,0,4907.3
New York City,2006,1,2,10,0,5191.1
New York City,2006,1,2,11,0,5451.7
New York City,2006,1,2,12,0,5600.2
New York City,2006,1,2,13,0,5644.6
New York City,2006,1,2,14,0,5692.6
New York City,2006,1,2,15,0,5738
New York City,2006,1,2,16,0,5822.1
New York City,2006,1,2,17,0,6101.5
New York City,2006,1,2,18,0,6359.7
New York City,2006,1,2,19,0,6346.2
New York City,2006,1,2,20,0,6238.9
New York City,2006,1,2,21,0,6063.6
New York City,2006,1,2,22,0,5852.2
New York City,2006,1,2,23,0,5545.7
New York City,2006,1,3,0,0,5395
New York City,2006,1,3,1,0,4744.8
New York City,2006,1,3,2,0,4528.1
New York City,2006,1,3,3,0,4390
New York City,2006,1,3,4,0,4332.6
New York City,2006,1,3,5,0,4364
New York City,2006,1,3,6,0,4643.8
New York City,2006,1,3,7,0,5218.2
New York City,2006,1,3,8,0,5899.8
New York City,2006,1,3,9,0,6269.3
New York City,2006,1,3,10,0,6616.9
New York City,2006,1,3,11,0,6778.2
New York City,2006,1,3,12,0,6885.7
New York City,2006,1,3,13,0,6890.7
New York City,2006,1,3,14,0,6894.7
New York City,2006,1,3,15,0,6874.9
New York City,2006,1,3,16,0,6933.8
New York City,2006,1,3,17,0,7097.8
New York City,2006,1,3,18,0,7286.5
New York City,2006,1,3,19,0,7061.3
New York City,2006,1,3,20,0,6840.5
New York City,2006,1,3,21,0,6559
New York City,2006,1,3,22,0,6281.6
New York City,2006,1,3,23,0,5895.9
New York City,2006,1,4,0,0,5352.5
New York City,2006,1,4,1,0,4954.3
New York City,2006,1,4,2,0,4679.4
New York City,2006,1,4,3,0,4539.8
New York City,2006,1,4,4,0,4474.5
