Date,Hour,EGS Energy (MWh),Default Energy (MWh), Total Energy (MWh)
1/1/09,1,3.87741,2274.43415,2278.31156
1/1/09,2,3.59536,2228.65002,2232.24538
1/1/09,3,3.41828,2175.39172,2178.81
1/1/09,4,3.38149,2118.00734,2121.38883
1/1/09,5,3.35445,2062.00649,2065.36094
1/1/09,6,3.40544,2144.21042,2147.61586
1/1/09,7,3.51385,2187.17918,2190.69303
1/1/09,8,3.727,2275.63701,2279.36401
1/1/09,9,3.99952,2336.43416,2340.43368
1/1/09,10,4.0749,2421.75435,2425.82925
1/1/09,11,4.2011,2454.94673,2459.14783
1/1/09,12,4.33523,2491.83245,2496.16768
1/1/09,13,4.35244,2485.6128,2489.96524
1/1/09,14,4.30295,2488.80456,2493.10751
1/1/09,15,4.31923,2455.41103,2459.73026
1/1/09,16,4.25071,2394.33921,2398.58992
1/1/09,17,4.6337,2555.9943,2560.628
1/1/09,18,5.21573,2822.01028,2827.22601
1/1/09,19,5.34561,2880.26873,2885.61434
1/1/09,20,5.21964,2824.20654,2829.42618
1/1/09,21,5.20453,2849.44997,2854.6545
1/1/09,22,4.98406,2684.15826,2689.14232
1/1/09,23,4.64592,2574.61933,2579.26525
1/1/09,24,4.00576,2208.44246,2212.44822
1/2/09,1,3.3311,2031.15992,2034.49102
1/2/09,2,3.08603,1780.80045,1783.88648
1/2/09,3,3.01471,1773.72131,1776.73602
1/2/09,4,2.88268,1727.52024,1730.40292
1/2/09,5,2.96859,1784.15928,1787.12787
1/2/09,6,3.09622,1800.34387,1803.44009
1/2/09,7,3.35646,1915.90049,1919.25695
1/2/09,8,3.45102,2045.18014,2048.63116
1/2/09,9,3.30579,1975.05556,1978.36135
1/2/09,10,3.16001,1874.68839,1877.8484
1/2/09,11,3.2662,1932.24611,1935.51231
1/2/09,12,3.29301,1898.20758,1901.50059
1/2/09,13,3.34183,1877.40537,1880.7472
1/2/09,14,3.26645,1939.86989,1943.13634
1/2/09,15,3.2153,1898.52671,1901.74201
1/2/09,16,3.29168,1857.33034,1860.62202
1/2/09,17,3.68164,2032.92617,2036.60781
1/2/09,18,4.42511,2472.06008,2476.48519
1/2/09,19,4.75676,2586.12793,2590.88469
1/2/09,20,4.59222,2552.82268,2557.4149
1/2/09,21,4.44611,2510.63886,2515.08497
1/2/09,22,4.36198,2423.96502,2428.327
1/2/09,23,4.04924,2275.83056,2279.8798
1/2/09,24,3.65271,2090.01795,2093.67066
1/3/09,1,3.28901,1873.32726,1876.61627
1/3/09,2,3.05208,1745.94255,1748.99463
1/3/09,3,2.90935,1717.12,1720.02935
1/3/09,4,2.80997,1609.64311,1612.45308
1/3/09,5,2.76564,1619.95248,1622.71812
1/3/09,6,2.85408,1686.46022,1689.3143
1/3/09,7,3.02119,1731.76047,1734.78166
1/3/09,8,3.21503,1856.37554,1859.59057
1/3/09,9,3.40472,1932.79641,1936.20113
1/3/09,10,3.56431,1998.02799,2001.5923
1/3/09,11,3.58296,2075.87005,2079.45301
1/3/09,12,3.63858,2084.1552,2087.79378
1/3/09,13,3.55815,2055.40704,2058.96519
1/3/09,14,3.53935,2043.7035,2047.24285
1/3/09,15,3.41199,1932.13922,1935.55121
1/3/09,16,3.50716,1924.95041,1928.45757
1/3/09,17,3.94376,2168.97749,2172.92125
1/3/09,18,4.66416,2498.20231,2502.86647
1/3/09,19,4.80971,2587.54125,2592.35096
1/3/09,20,4.76131,2549.7709,2554.53221
1/3/09,21,4.65796,2557.50752,2562.16548
1/3/09,22,4.56689,2473.62355,2478.19044
1/3/09,23,4.23894,2326.52272,2330.76166
1/3/09,24,3.80531,2164.86308,2168.66839
1/4/09,1,3.36638,1925.9896,1929.35598
1/4/09,2,3.11318,1736.96905,1740.08223
1/4/09,3,3.01552,1667.60162,1670.61714
1/4/09,4,2.9473,1736.16112,1739.10842
1/4/09,5,2.93019,1683.72591,1686.6561
1/4/09,6,2.95388,1766.3941,1769.34798
1/4/09,7,3.14572,1849.50643,1852.65215
1/4/09,8,3.47212,2056.73466,2060.20678
1/4/09,9,3.61207,2059.81375,2063.42582
1/4/09,10,3.81524,2200.84607,2204.66131
1/4/09,11,3.90391,2221.10101,2225.00492
1/4/09,12,3.866,2204.74559,2208.61159
1/4/09,13,3.9339,2180.08309,2184.01699
1/4/09,14,3.83382,2106.45266,2110.28648
1/4/09,15,3.92277,2135.48684,2139.40961
1/4/09,16,4.1274,2181.03912,2185.16652
1/4/09,17,4.43785,2370.69427,2375.13212
1/4/09,18,5.06697,2643.55336,2648.62033
1/4/09,19,5.05744,2671.47899,2676.53643
1/4/09,20,4.81609,2552.52912,2557.34521
1/4/09,21,4.84347,2570.07616,2574.91963
1/4/09,22,4.35634,2332.42517,2336.78151
1/4/09,23,3.7934,2070.06942,2073.86282
1/4/09,24,3.3621,1792.76533,1796.12743
1/5/09,1,2.83592,1523.41177,1526.24769
1/5/09,2,2.65254,1382.62786,1385.2804
1/5/09,3,2.58328,1411.41765,1414.00093
1/5/09,4,2.53591,1388.15002,1390.68593
1/5/09,5,2.50762,1368.47916,1370.98678
1/5/09,6,2.84419,1522.2409,1525.08509
1/5/09,7,3.40009,1858.7068,1862.10689
1/5/09,8,3.59794,2017.16092,2020.75886
1/5/09,9,3.16922,1779.07106,1782.24028
1/5/09,10,2.92003,1631.04604,1633.96607
1/5/09,11,2.91685,1585.09263,1588.00948
1/5/09,12,2.82612,1510.24865,1513.07477
1/5/09,13,2.82949,1504.54852,1507.37801
1/5/09,14,2.75282,1468.97293,1471.72575
1/5/09,15,2.76923,1460.62446,1463.39369
1/5/09,16,2.95392,1557.81373,1560.76765
1/5/09,17,3.47736,1872.55062,1876.02798
1/5/09,18,4.39837,2279.12831,2283.52668
1/5/09,19,4.60991,2413.52794,2418.13785
1/5/09,20,4.54923,2437.46071,2442.00994
1/5/09,21,4.53538,2409.81441,2414.34979
1/5/09,22,4.34237,2274.44469,2278.78706
1/5/09,23,3.78839,1979.83798,1983.62637
1/5/09,24,3.15767,1694.6073,1697.76497
1/6/09,1,2.69769,1468.41717,1471.11486
1/6/09,2,2.59771,1390.54069,1393.1384
1/6/09,3,2.46974,1379.97838,1382.44812
1/6/09,4,2.46779,1354.28873,1356.75652
1/6/09,5,2.52735,1485.44204,1487.96939
1/6/09,6,2.80021,1603.98567,1606.78588
1/6/09,7,3.31721,1896.25732,1899.57453
1/6/09,8,3.59885,2072.9846,2076.58345
1/6/09,9,3.31719,1910.33845,1913.65564
1/6/09,10,3.1394,1825.24591,1828.38531
1/6/09,11,3.0962,1793.83908,1796.93528
1/6/09,12,3.13022,1745.85745,1748.98767
1/6/09,13,3.03549,1713.25472,1716.29021
1/6/09,14,3.05159,1747.38638,1750.43797
1/6/09,15,3.10756,1712.13667,1715.24423
1/6/09,16,3.25396,1889.10166,1892.35562
1/6/09,17,3.86523,2195.03351,2198.89874
1/6/09,18,4.63631,2572.1008,2576.73711
1/6/09,19,4.88983,2748.95325,2753.84308
1/6/09,20,4.85978,2713.95758,2718.81736
1/6/09,21,4.67841,2626.20877,2630.88718
1/6/09,22,4.4008,2468.27682,2472.67762
1/6/09,23,4.00475,2265.02016,2269.02491
1/6/09,24,3.37467,2015.01603,2018.3907
1/7/09,1,3.01626,1782.77418,1785.79044
1/7/09,2,2.81543,1683.61003,1686.42546
1/7/09,3,2.69348,1562.81592,1565.5094
1/7/09,4,2.68819,1586.77372,1589.46191
1/7/09,5,2.67548,1602.21264,1604.88812
1/7/09,6,2.79111,1559.55582,1562.34693
1/7/09,7,3.3884,1936.60867,1939.99707
1/7/09,8,3.6721,2115.0303,2118.7024
1/7/09,9,3.33746,1916.39676,1919.73422
1/7/09,10,3.30143,1918.98872,1922.29015
1/7/09,11,3.24944,1841.61137,1844.86081
1/7/09,12,3.09217,1712.32448,1715.41665
1/7/09,13,3.04319,1666.72715,1669.77034
1/7/09,14,3.19238,1847.55585,1850.74823
1/7/09,15,2.98574,1565.87426,1568.86
1/7/09,16,3.24902,1869.36714,1872.61616
1/7/09,17,3.72473,1951.1484,1954.87313
1/7/09,18,4.37077,2327.48894,2331.85971
1/7/09,19,4.77028,2477.42391,2482.19419
1/7/09,20,4.58436,2474.12045,2478.70481
1/7/09,21,4.44234,2424.79369,2429.23603
1/7/09,22,4.22742,2370.78049,2375.00791
1/7/09,23,3.88816,2183.79003,2187.67819
1/7/09,24,3.22244,1923.3595,1926.58194
1/8/09,1,2.89701,1728.79944,1731.69645
1/8/09,2,2.78568,1690.27066,1693.05634
1/8/09,3,2.66654,1582.59113,1585.25767
1/8/09,4,2.56729,1573.97484,1576.54213
1/8/09,5,2.63108,1613.43511,1616.06619
1/8/09,6,2.88474,1754.55519,1757.43993
1/8/09,7,3.46261,2052.94641,2056.40902
1/8/09,8,3.64122,2168.26439,2171.90561
1/8/09,9,3.29607,1972.65595,1975.95202
1/8/09,10,3.12367,1903.65038,1906.77405
1/8/09,11,3.09778,1836.81975,1839.91753
