"city","YR","M","D","HR","MIN","MW"
"Snowy",2000,1,1,0,30,2.84167
"Snowy",2000,1,1,1,0,1.58
"Snowy",2000,1,1,1,30,2.29333
"Snowy",2000,1,1,2,0,3.33333
"Snowy",2000,1,1,2,30,1.59333
"Snowy",2000,1,1,3,0,4.12667
"Snowy",2000,1,1,3,30,1.11667
"Snowy",2000,1,1,4,0,8.78167
"Snowy",2000,1,1,4,30,1.31333
"Snowy",2000,1,1,5,0,1.61
"Snowy",2000,1,1,5,30,1.78667
"Snowy",2000,1,1,6,0,1.47
"Snowy",2000,1,1,6,30,0.07167
"Snowy",2000,1,1,7,0,0.70667
"Snowy",2000,1,1,7,30,0.85333
"Snowy",2000,1,1,8,0,0.50333
"Snowy",2000,1,1,8,30,0
"Snowy",2000,1,1,9,0,0
"Snowy",2000,1,1,9,30,0
"Snowy",2000,1,1,10,0,0
"Snowy",2000,1,1,10,30,0
"Snowy",2000,1,1,11,0,0.03833
"Snowy",2000,1,1,11,30,0
"Snowy",2000,1,1,12,0,0
"Snowy",2000,1,1,12,30,0
"Snowy",2000,1,1,13,0,0
"Snowy",2000,1,1,13,30,0
"Snowy",2000,1,1,14,0,0.06667
"Snowy",2000,1,1,14,30,0
"Snowy",2000,1,1,15,0,0
"Snowy",2000,1,1,15,30,0
"Snowy",2000,1,1,16,0,0
"Snowy",2000,1,1,16,30,0
"Snowy",2000,1,1,17,0,0
"Snowy",2000,1,1,17,30,0
"Snowy",2000,1,1,18,0,0
"Snowy",2000,1,1,18,30,0
"Snowy",2000,1,1,19,0,0
"Snowy",2000,1,1,19,30,0.35667
"Snowy",2000,1,1,20,0,0
"Snowy",2000,1,1,20,30,0
"Snowy",2000,1,1,21,0,0.245
"Snowy",2000,1,1,21,30,0.21667
"Snowy",2000,1,1,22,0,0
"Snowy",2000,1,1,22,30,0
"Snowy",2000,1,1,23,0,0
"Snowy",2000,1,1,23,30,0
"Snowy",2000,1,2,0,0,0
"Snowy",2000,1,2,0,30,0.12333
"Snowy",2000,1,2,1,0,0.57333
"Snowy",2000,1,2,1,30,0.3
"Snowy",2000,1,2,2,0,3.47667
"Snowy",2000,1,2,2,30,2.16833
"Snowy",2000,1,2,3,0,2.61167
"Snowy",2000,1,2,3,30,2.275
"Snowy",2000,1,2,4,0,2.12
"Snowy",2000,1,2,4,30,2.305
"Snowy",2000,1,2,5,0,4.75667
"Snowy",2000,1,2,5,30,1.465
"Snowy",2000,1,2,6,0,0.98
"Snowy",2000,1,2,6,30,0.13167
"Snowy",2000,1,2,7,0,1.015
"Snowy",2000,1,2,7,30,1.83667
"Snowy",2000,1,2,8,0,11.525
"Snowy",2000,1,2,8,30,0
"Snowy",2000,1,2,9,0,0
"Snowy",2000,1,2,9,30,0
"Snowy",2000,1,2,10,0,0.025
"Snowy",2000,1,2,10,30,0.60833
"Snowy",2000,1,2,11,0,1.76167
"Snowy",2000,1,2,11,30,2.52333
"Snowy",2000,1,2,12,0,1.68333
"Snowy",2000,1,2,12,30,0
"Snowy",2000,1,2,13,0,0.32667
"Snowy",2000,1,2,13,30,1.155
"Snowy",2000,1,2,14,0,1.52833
"Snowy",2000,1,2,14,30,0.19333
"Snowy",2000,1,2,15,0,0.85667
"Snowy",2000,1,2,15,30,1.16333
"Snowy",2000,1,2,16,0,0.76167
"Snowy",2000,1,2,16,30,0.25
"Snowy",2000,1,2,17,0,2.15167
"Snowy",2000,1,2,17,30,0.61667
"Snowy",2000,1,2,18,0,0.59667
"Snowy",2000,1,2,18,30,1.65833
"Snowy",2000,1,2,19,0,0.905
"Snowy",2000,1,2,19,30,0.57833
"Snowy",2000,1,2,20,0,0.625
"Snowy",2000,1,2,20,30,0.17833
"Snowy",2000,1,2,21,0,0.20833
"Snowy",2000,1,2,21,30,0.425
