city,YR,M,D,HR,MW
Tokyo,2008,1,1,0,30320
Tokyo,2008,1,1,1,28260
Tokyo,2008,1,1,2,26400
Tokyo,2008,1,1,3,25090
Tokyo,2008,1,1,4,24330
Tokyo,2008,1,1,5,24360
Tokyo,2008,1,1,6,25310
Tokyo,2008,1,1,7,27030
Tokyo,2008,1,1,8,28750
Tokyo,2008,1,1,9,28930
Tokyo,2008,1,1,10,28180
Tokyo,2008,1,1,11,27340
Tokyo,2008,1,1,12,26900
Tokyo,2008,1,1,13,26620
Tokyo,2008,1,1,14,26690
Tokyo,2008,1,1,15,27390
Tokyo,2008,1,1,16,29700
Tokyo,2008,1,1,17,32930
Tokyo,2008,1,1,18,33580
Tokyo,2008,1,1,19,33530
Tokyo,2008,1,1,20,33460
Tokyo,2008,1,1,21,33000
Tokyo,2008,1,1,22,31780
Tokyo,2008,1,1,23,30400
Tokyo,2008,1,2,0,27980
Tokyo,2008,1,2,1,26270
Tokyo,2008,1,2,2,24990
Tokyo,2008,1,2,3,23970
Tokyo,2008,1,2,4,23490
Tokyo,2008,1,2,5,23960
Tokyo,2008,1,2,6,25540
Tokyo,2008,1,2,7,27960
Tokyo,2008,1,2,8,30160
Tokyo,2008,1,2,9,30750
Tokyo,2008,1,2,10,30190
Tokyo,2008,1,2,11,29190
Tokyo,2008,1,2,12,28500
Tokyo,2008,1,2,13,27990
Tokyo,2008,1,2,14,27750
Tokyo,2008,1,2,15,28230
Tokyo,2008,1,2,16,30760
Tokyo,2008,1,2,17,34200
Tokyo,2008,1,2,18,34790
Tokyo,2008,1,2,19,34720
Tokyo,2008,1,2,20,34470
Tokyo,2008,1,2,21,33950
Tokyo,2008,1,2,22,32860
Tokyo,2008,1,2,23,31430
Tokyo,2008,1,3,0,28910
Tokyo,2008,1,3,1,26830
Tokyo,2008,1,3,2,25500
Tokyo,2008,1,3,3,24420
Tokyo,2008,1,3,4,23920
Tokyo,2008,1,3,5,24200
Tokyo,2008,1,3,6,25750
Tokyo,2008,1,3,7,28380
Tokyo,2008,1,3,8,30800
Tokyo,2008,1,3,9,31890
Tokyo,2008,1,3,10,31620
Tokyo,2008,1,3,11,30490
Tokyo,2008,1,3,12,29650
Tokyo,2008,1,3,13,29070
Tokyo,2008,1,3,14,28730
Tokyo,2008,1,3,15,29170
Tokyo,2008,1,3,16,31830
Tokyo,2008,1,3,17,35380
Tokyo,2008,1,3,18,35930
Tokyo,2008,1,3,19,35770
Tokyo,2008,1,3,20,35470
Tokyo,2008,1,3,21,34510
Tokyo,2008,1,3,22,33110
Tokyo,2008,1,3,23,31210
Tokyo,2008,1,4,0,28610
Tokyo,2008,1,4,1,26790
Tokyo,2008,1,4,2,25440
Tokyo,2008,1,4,3,24520
Tokyo,2008,1,4,4,24150
Tokyo,2008,1,4,5,25240
Tokyo,2008,1,4,6,28270
Tokyo,2008,1,4,7,32080
Tokyo,2008,1,4,8,35620
Tokyo,2008,1,4,9,36580
Tokyo,2008,1,4,10,36020
Tokyo,2008,1,4,11,35110
Tokyo,2008,1,4,12,34070
Tokyo,2008,1,4,13,33800
Tokyo,2008,1,4,14,33490
Tokyo,2008,1,4,15,33940
Tokyo,2008,1,4,16,36720
Tokyo,2008,1,4,17,40070
Tokyo,2008,1,4,18,40370
Tokyo,2008,1,4,19,39850
Tokyo,2008,1,4,20,39040
Tokyo,2008,1,4,21,37370
Tokyo,2008,1,4,22,35260
Tokyo,2008,1,4,23,33350
Tokyo,2008,1,5,0,30470
Tokyo,2008,1,5,1,28460
Tokyo,2008,1,5,2,26890
Tokyo,2008,1,5,3,25700
Tokyo,2008,1,5,4,25260
Tokyo,2008,1,5,5,25840
Tokyo,2008,1,5,6,28050
Tokyo,2008,1,5,7,31550
Tokyo,2008,1,5,8,36200
Tokyo,2008,1,5,9,39340
Tokyo,2008,1,5,10,39990
Tokyo,2008,1,5,11,38710
Tokyo,2008,1,5,12,37030
Tokyo,2008,1,5,13,35950
Tokyo,2008,1,5,14,35220
Tokyo,2008,1,5,15,35200
Tokyo,2008,1,5,16,37620
Tokyo,2008,1,5,17,40900
Tokyo,2008,1,5,18,41200
Tokyo,2008,1,5,19,40730
Tokyo,2008,1,5,20,39990
Tokyo,2008,1,5,21,38340
Tokyo,2008,1,5,22,36330
Tokyo,2008,1,5,23,34530
Tokyo,2008,1,6,0,31690
Tokyo,2008,1,6,1,29690
Tokyo,2008,1,6,2,28050
Tokyo,2008,1,6,3,26930
Tokyo,2008,1,6,4,26260
Tokyo,2008,1,6,5,26500
Tokyo,2008,1,6,6,28330
Tokyo,2008,1,6,7,31060
Tokyo,2008,1,6,8,34150
Tokyo,2008,1,6,9,35660
Tokyo,2008,1,6,10,35220
Tokyo,2008,1,6,11,34010
Tokyo,2008,1,6,12,33120
Tokyo,2008,1,6,13,32660
Tokyo,2008,1,6,14,32090
Tokyo,2008,1,6,15,32330
Tokyo,2008,1,6,16,34840
Tokyo,2008,1,6,17,39110
Tokyo,2008,1,6,18,40000
Tokyo,2008,1,6,19,39700
Tokyo,2008,1,6,20,38990
Tokyo,2008,1,6,21,37610
Tokyo,2008,1,6,22,35500
Tokyo,2008,1,6,23,33140
Tokyo,2008,1,7,0,30150
Tokyo,2008,1,7,1,28390
Tokyo,2008,1,7,2,27030
Tokyo,2008,1,7,3,26290
Tokyo,2008,1,7,4,26300
Tokyo,2008,1,7,5,28250
Tokyo,2008,1,7,6,33090
Tokyo,2008,1,7,7,38400
Tokyo,2008,1,7,8,43250
Tokyo,2008,1,7,9,45700
Tokyo,2008,1,7,10,45710
Tokyo,2008,1,7,11,46070
Tokyo,2008,1,7,12,44090
Tokyo,2008,1,7,13,46020
Tokyo,2008,1,7,14,46180
Tokyo,2008,1,7,15,46340
Tokyo,2008,1,7,16,48250
Tokyo,2008,1,7,17,48430
Tokyo,2008,1,7,18,47140
Tokyo,2008,1,7,19,45350
Tokyo,2008,1,7,20,43440
Tokyo,2008,1,7,21,41590
Tokyo,2008,1,7,22,40170
Tokyo,2008,1,7,23,37210
Tokyo,2008,1,8,0,33550
Tokyo,2008,1,8,1,31380
Tokyo,2008,1,8,2,30050
Tokyo,2008,1,8,3,29130
Tokyo,2008,1,8,4,29050
Tokyo,2008,1,8,5,30900
Tokyo,2008,1,8,6,36000
Tokyo,2008,1,8,7,40680
Tokyo,2008,1,8,8,44430
Tokyo,2008,1,8,9,46010
Tokyo,2008,1,8,10,45160
Tokyo,2008,1,8,11,43990
Tokyo,2008,1,8,12,40770
Tokyo,2008,1,8,13,42210
Tokyo,2008,1,8,14,41960
Tokyo,2008,1,8,15,41900
Tokyo,2008,1,8,16,44310
Tokyo,2008,1,8,17,46900
Tokyo,2008,1,8,18,46410
Tokyo,2008,1,8,19,44670
Tokyo,2008,1,8,20,43080
Tokyo,2008,1,8,21,40960
Tokyo,2008,1,8,22,39600
Tokyo,2008,1,8,23,36700
Tokyo,2008,1,9,0,33390
Tokyo,2008,1,9,1,31350
Tokyo,2008,1,9,2,29870
Tokyo,2008,1,9,3,28840
Tokyo,2008,1,9,4,28740
Tokyo,2008,1,9,5,30340
Tokyo,2008,1,9,6,34860
Tokyo,2008,1,9,7,39720
Tokyo,2008,1,9,8,43990
Tokyo,2008,1,9,9,46070
Tokyo,2008,1,9,10,45700
Tokyo,2008,1,9,11,44740
Tokyo,2008,1,9,12,41480
Tokyo,2008,1,9,13,42660
Tokyo,2008,1,9,14,42330
Tokyo,2008,1,9,15,42150
Tokyo,2008,1,9,16,44550
Tokyo,2008,1,9,17,46930
Tokyo,2008,1,9,18,46170
Tokyo,2008,1,9,19,44530
Tokyo,2008,1,9,20,42890
Tokyo,2008,1,9,21,40880
Tokyo,2008,1,9,22,39720
Tokyo,2008,1,9,23,37090
Tokyo,2008,1,10,0,33830
Tokyo,2008,1,10,1,31860
Tokyo,2008,1,10,2,30420
Tokyo,2008,1,10,3,29570
Tokyo,2008,1,10,4,29510
Tokyo,2008,1,10,5,31260
Tokyo,2008,1,10,6,36200
Tokyo,2008,1,10,7,40770
Tokyo,2008,1,10,8,44500
Tokyo,2008,1,10,9,46220
Tokyo,2008,1,10,10,45560
Tokyo,2008,1,10,11,44490
Tokyo,2008,1,10,12,41340
Tokyo,2008,1,10,13,42880
Tokyo,2008,1,10,14,42790
Tokyo,2008,1,10,15,42850
Tokyo,2008,1,10,16,45450
Tokyo,2008,1,10,17,47960
Tokyo,2008,1,10,18,47420
Tokyo,2008,1,10,19,45710
Tokyo,2008,1,10,20,43920
Tokyo,2008,1,10,21,41890
Tokyo,2008,1,10,22,40670
Tokyo,2008,1,10,23,37940
Tokyo,2008,1,11,0,34530
Tokyo,2008,1,11,1,32350
Tokyo,2008,1,11,2,30950
Tokyo,2008,1,11,3,29970
Tokyo,2008,1,11,4,29890
Tokyo,2008,1,11,5,31660
Tokyo,2008,1,11,6,36650
Tokyo,2008,1,11,7,41350
Tokyo,2008,1,11,8,45310
Tokyo,2008,1,11,9,46920
Tokyo,2008,1,11,10,46060
Tokyo,2008,1,11,11,44900
Tokyo,2008,1,11,12,41670
Tokyo,2008,1,11,13,43250
Tokyo,2008,1,11,14,43440
Tokyo,2008,1,11,15,43980
Tokyo,2008,1,11,16,46640
Tokyo,2008,1,11,17,47770
Tokyo,2008,1,11,18,46690
Tokyo,2008,1,11,19,44670
Tokyo,2008,1,11,20,42640
Tokyo,2008,1,11,21,40540
Tokyo,2008,1,11,22,39330
Tokyo,2008,1,11,23,36950
Tokyo,2008,1,12,0,33830
Tokyo,2008,1,12,1,31930
Tokyo,2008,1,12,2,30390
Tokyo,2008,1,12,3,29070
Tokyo,2008,1,12,4,28570
Tokyo,2008,1,12,5,29060
Tokyo,2008,1,12,6,31250
Tokyo,2008,1,12,7,34810
Tokyo,2008,1,12,8,39610
Tokyo,2008,1,12,9,43180
Tokyo,2008,1,12,10,44500
Tokyo,2008,1,12,11,44730
Tokyo,2008,1,12,12,43290
Tokyo,2008,1,12,13,44240
Tokyo,2008,1,12,14,44310
