"city","YR","M","D","MWh"
"Abidjan",2010,1,1,8666.4722826
"Abidjan",2010,1,2,9135.9346386
"Abidjan",2010,1,3,8796.7310219
"Abidjan",2010,1,4,10206.8877382
"Abidjan",2010,1,5,10446.9278603
"Abidjan",2010,1,6,10623.639862
"Abidjan",2010,1,7,10674.0748323
"Abidjan",2010,1,8,10706.181305
"Abidjan",2010,1,9,9907.5644049
"Abidjan",2010,1,10,9049.2218825
"Abidjan",2010,1,11,10325.5489624
"Abidjan",2010,1,12,10417.2230534
"Abidjan",2010,1,13,10611.6947376
"Abidjan",2010,1,14,10732.1129696
"Abidjan",2010,1,15,10716.1039746
"Abidjan",2010,1,16,9908.6388343
"Abidjan",2010,1,17,9227.4507252
"Abidjan",2010,1,18,10683.1758796
"Abidjan",2010,1,19,10833.9119756
"Abidjan",2010,1,20,10815.077864
"Abidjan",2010,1,21,10572.699278
"Abidjan",2010,1,22,10847.8163533
"Abidjan",2010,1,23,9925.3872895
"Abidjan",2010,1,24,9528.8597153
"Abidjan",2010,1,25,10710.7950302
"Abidjan",2010,1,26,10962.4200275
"Abidjan",2010,1,27,10516.82896
"Abidjan",2010,1,28,10609.2930723
"Abidjan",2010,1,29,10768.6878034
"Abidjan",2010,1,30,9881.7149029
"Abidjan",2010,1,31,9428.8113965
"Abidjan",2010,2,1,9784.6490414
"Abidjan",2010,2,2,8586.034863
"Abidjan",2010,2,3,9282.0812384
"Abidjan",2010,2,4,9178.13196
"Abidjan",2010,2,5,9049.4179257
"Abidjan",2010,2,6,8842.2717158
"Abidjan",2010,2,7,8235.6292429
"Abidjan",2010,2,8,9251.9873581
"Abidjan",2010,2,9,8937.9451769
"Abidjan",2010,2,10,8841.0178038
"Abidjan",2010,2,11,9116.6464005
"Abidjan",2010,2,12,8807.9145354
"Abidjan",2010,2,13,8413.6220064
"Abidjan",2010,2,14,8005.7245359
"Abidjan",2010,2,15,9028.3647484
"Abidjan",2010,2,16,9015.8130926
"Abidjan",2010,2,17,8612.993964
"Abidjan",2010,2,18,8804.9051474
"Abidjan",2010,2,19,9143.712084
"Abidjan",2010,2,20,8380.1425644
"Abidjan",2010,2,21,8152.1814206
"Abidjan",2010,2,22,8849.7324902
"Abidjan",2010,2,23,8877.005069
"Abidjan",2010,2,24,8992.5530307
"Abidjan",2010,2,25,8938.6348282
"Abidjan",2010,2,26,8604.0473042
"Abidjan",2010,2,27,8440.3930212
"Abidjan",2010,2,28,8388.5437726
"Abidjan",2010,3,1,8984.175145
"Abidjan",2010,3,2,9078.3610869
"Abidjan",2010,3,3,8881.932564
"Abidjan",2010,3,4,9092.0445844
"Abidjan",2010,3,5,8974.519967
"Abidjan",2010,3,6,9052.4008071
"Abidjan",2010,3,7,8575.7163542
"Abidjan",2010,3,8,9185.7189938
"Abidjan",2010,3,9,9192.6886258
"Abidjan",2010,3,10,8814.5381426
"Abidjan",2010,3,11,8969.1488745
"Abidjan",2010,3,12,9089.998454
"Abidjan",2010,3,13,9291.862011
"Abidjan",2010,3,14,8733.5881064
"Abidjan",2010,3,15,8945.1707832
"Abidjan",2010,3,16,9057.5800745
"Abidjan",2010,3,17,9612.145367
"Abidjan",2010,3,18,9388.605616
"Abidjan",2010,3,19,10247.4688714
"Abidjan",2010,3,20,9729.9257512
"Abidjan",2010,3,21,9427.4181529
"Abidjan",2010,3,22,10925.6971732
"Abidjan",2010,3,23,10879.1029463
"Abidjan",2010,3,24,11129.6068606
"Abidjan",2010,3,25,10443.5137447
"Abidjan",2010,3,26,10033.9679475
"Abidjan",2010,3,27,9614.9587969
"Abidjan",2010,3,28,9462.138429
"Abidjan",2010,3,29,11170.4655279
"Abidjan",2010,3,30,11133.3154718
"Abidjan",2010,3,31,11274.3705897
"Abidjan",2010,4,1,11082.8238716
"Abidjan",2010,4,2,10684.017732
"Abidjan",2010,4,3,9884.1487694
"Abidjan",2010,4,4,9226.3881873
"Abidjan",2010,4,5,9558.3714184
"Abidjan",2010,4,6,10171.2490711
"Abidjan",2010,4,7,10918.9008828
"Abidjan",2010,4,8,10458.9135436
"Abidjan",2010,4,9,9813.3766642
"Abidjan",2010,4,10,9151.6668863
"Abidjan",2010,4,11,8747.219038
"Abidjan",2010,4,12,9371.0039945
"Abidjan",2010,4,13,9198.3676995
"Abidjan",2010,4,14,9102.6467038
"Abidjan",2010,4,15,9142.8282089
"Abidjan",2010,4,16,8991.1916084
"Abidjan",2010,4,17,9139.1297549
"Abidjan",2010,4,18,7483.789653526
"Abidjan",2010,4,19,8992.4453217
"Abidjan",2010,4,20,9008.9316491
"Abidjan",2010,4,21,8922.0493306
"Abidjan",2010,4,22,9243.7521141
"Abidjan",2010,4,23,9112.5510372
"Abidjan",2010,4,24,8858.3607045
"Abidjan",2010,4,25,8268.3633163
"Abidjan",2010,4,26,9100.2646488
